Long_Desc                                                                    DHA
Rolls, dinner, plain, prepared from recipe, made with low fat (2%) mil     0.003
Muffins, wheat bran, toaster-type with raisins, toasted                    0.003
Bagels, egg                                                                0.003
Cake, boston cream pie, commercially prepared                              0.003
Cake, gingerbread, prepared from recipe                                    0.003
Cookies, chocolate chip, prepared from recipe, made with margarine         0.003
Cookies, oatmeal, prepared from recipe, with raisins                       0.003
Cookies, peanut butter, prepared from recipe                               0.003
Cookies, sugar, refrigerated dough, baked                                  0.003
Pancakes, plain, reduced fat                                               0.003
Danish pastry, nut (includes almond, raisin nut, cinnamon nut)             0.003
Doughnuts, yeast-leavened, with creme filling                              0.003
Muffins, plain, prepared from recipe, made with low fat (2%) milk          0.003
Muffins, blueberry, prepared from recipe, made with low fat (2%) milk      0.003
Muffins, corn, prepared from recipe, made with low fat (2%) milk           0.003
Waffles, plain, frozen, ready-to-heat                                      0.003
Cookies, oatmeal, prepared from recipe, without raisins                    0.003
Cookies, chocolate chip, prepared from recipe, made with butter            0.003
Bread, cornbread, prepared from recipe, made with low fat (2%) milk        0.003
Plantains, green, fried                                                    0.003
Bread, irish soda, prepared from recipe                                    0.002
Cake, cherry fudge with chocolate frosting                                 0.002
Pancakes, plain, dry mix, complete, prepared                               0.002
Muffins, corn, commercially prepared                                       0.002
Doughnuts, cake-type, chocolate, sugared or glazed                         0.002
Danish pastry, cinnamon, enriched                                          0.002
Croissants, cheese                                                         0.002
Croissants, butter                                                         0.002
Cookies, sugar, prepared from recipe, made with margarine                  0.002
Cookies, peanut butter, refrigerated dough                                 0.002
Cookies, chocolate wafers                                                  0.002
Cake, pineapple upside-down, prepared from recipe                          0.002
Muffins, blueberry, toaster-type, toasted                                  0.002
Danish pastry, cinnamon, unenriched                                        0.002
Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)        0.002
Waffles, chocolate chip, frozen, ready-to-heat                             0.002
Cookies, fortune                                                           0.001
Cookies, oatmeal, refrigerated dough                                       0.001
Cookies, oatmeal, refrigerated dough, baked                                0.001
Cookies, brownies, commercially prepared                                   0.001
Coffeecake, fruit                                                          0.001
Cake, fruitcake, commercially prepared                                     0.001
Plantains, yellow, fried, Latino restaurant                                0.001
Danish pastry, cheese                                                      0.001
Garlic bread, frozen                                                       0.001
Doughnuts, cake-type, plain (includes unsugared, old-fashioned)            0.001
Pastry, Pastelitos de Guava (guava pastries)                               0.001
Doughnuts, french crullers, glazed                                         0.001
Crackers, milk                                                             0.001
Wonton wrappers (includes egg roll wrappers)                               0.001
Strudel, apple                                                             0.001
Rolls, dinner, plain, commercially prepared (includes brown-and-serve)     0.001
Muffins, blueberry, toaster-type                                           0.001
Muffins, corn, toaster-type                                                0.001
Cookies, sugar, refrigerated dough                                         0.001
Cookies, raisin, soft-type                                                 0.001
Cookies, sugar, commercially prepared, regular (includes vanilla)          0.001
Pancakes plain, frozen, ready-to-heat (includes buttermilk)                  0.0
Muffins, oat bran                                                            0.0
Cookies, chocolate chip, commercially prepared, regular, lower fat           0.0
Crackers, matzo, plain                                                       0.0
Pie, apple, commercially prepared, enriched flour                            0.0
English muffins, whole grain white                                           0.0
Cookies, sugar wafer, with creme filling, sugar free                         0.0
Pancakes, buckwheat, dry mix, incomplete                                     0.0
Cookies, chocolate chip, commercially prepared, regular, higher fat, e       0.0
Pancakes, plain, dry mix, incomplete (includes buttermilk)                   0.0
Rolls, hamburger or hot dog, whole wheat                                     0.0
Rolls, hamburger or hot dog, wheat/cracked wheat                             0.0
Pancakes, plain, dry mix, complete (includes buttermilk)                     0.0
Cookies, chocolate chip, commercially prepared, soft-type                    0.0
Rolls, hamburger, whole grain white, calcium-fortified                       0.0
Bagels, multigrain                                                           0.0
Bread, chapati or roti, whole wheat, commercially prepared, frozen           0.0
Pancakes, whole wheat, dry mix, incomplete                                   0.0
Potatoes, mashed, ready-to-eat                                               0.0
English muffins, mixed-grain (includes granola)                              0.0
Cheesecake prepared from mix, no-bake type                                   0.0
Crackers, toast thins, low sodium                                            0.0
Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS                               0.0
English muffins, plain, toasted, enriched, with calcium propionate (in       0.0
Crackers, whole grain, sandwich-type, with peanut butter filling             0.0
English muffins, plain, enriched, with ca prop (includes sourdough)          0.0
Cake, yellow, enriched, dry mix                                              0.0
Peppers, hot pickled, canned                                                 0.0
Ginger root, pickled, canned, with artificial sweetener                      0.0
Vegetable smoothie, NAKED JUICE, KALE BLAZER                                 0.0
Sweet Potatoes, french fried, frozen as packaged, salt added in proces       0.0
Cookies, animal, with frosting or icing                                      0.0
Cookies, vanilla sandwich with creme filling                                 0.0
Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil        0.0
Cake, pudding-type, yellow, dry mix                                          0.0
Cookies, sugar wafers with creme filling, regular                            0.0
English muffins, mixed-grain, toasted (includes granola)                     0.0
English muffins, raisin-cinnamon (includes apple-cinnamon)                   0.0
Bread, paratha, whole wheat, commercially prepared, frozen                   0.0
Bread, naan, whole wheat, commercially prepared, refrigerated                0.0
Ice cream cones, sugar, rolled-type                                          0.0
Ice cream cones, cake or wafer-type                                          0.0
Bread, roll, Mexican, bollilo                                                0.0
Cookie, vanilla with caramel, coconut, and chocolate coating                 0.0
Cookie, with peanut butter filling, chocolate-coated                         0.0
English muffins, whole-wheat, toasted                                        0.0
English muffins, whole-wheat                                                 0.0
English muffins, wheat, toasted                                              0.0
English muffins, wheat                                                       0.0
Pancakes, plain, low fat, dry mix, incomplete (includes buttermilk)          0.0
English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)          0.0
Pie, apple, prepared from recipe                                             0.0
Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar                           0.0
Pie crust, standard-type, prepared from recipe, baked                        0.0
Pie crust, standard-type, frozen, ready-to-bake, enriched, baked             0.0
Cookies, oatmeal, commercially prepared, soft-type                           0.0
Cookies, oatmeal, commercially prepared, regular                             0.0
Pie crust, standard-type, frozen, ready-to-bake, enriched                    0.0
Pie crust, standard-type, dry mix                                            0.0
Pie, pumpkin, commercially prepared                                          0.0
Cookies, molasses                                                            0.0
Pie, pecan, commercially prepared                                            0.0
Pie, peach                                                                   0.0
Pie, mince, prepared from recipe                                             0.0
Cookies, marshmallow, chocolate-coated (includes marshmallow pies)           0.0
Cookies, shortbread, commercially prepared, plain                            0.0
Bread, french or vienna, whole wheat                                         0.0
Crackers, sandwich-type, peanut butter filled, reduced fat                   0.0
Bread, wheat, sprouted                                                       0.0
Bread, cinnamon                                                              0.0
Phyllo dough                                                                 0.0
Cookies, peanut butter sandwich, regular                                     0.0
Cookies, oatmeal, dry mix                                                    0.0
Papad                                                                        0.0
Puff pastry, frozen, ready-to-bake                                           0.0
Cookies, graham crackers, chocolate-coated                                   0.0
Pie, cherry, commercially prepared                                           0.0
Pie, blueberry, prepared from recipe                                         0.0
Pie, blueberry, commercially prepared                                        0.0
Cookies, oatmeal, commercially prepared, special dietary                     0.0
Cookies, chocolate sandwich, with creme filling, regular, chocolate-co       0.0
Cookies, chocolate sandwich, with creme filling, regular                     0.0
Pie, chocolate creme, commercially prepared                                  0.0
Bagels, whole grain white                                                    0.0
Pie, banana cream, prepared from mix, no-bake type                           0.0
Crackers, multigrain                                                         0.0
Cookies, peanut butter sandwich, special dietary                             0.0
Pie, cherry, prepared from recipe                                            0.0
Pie, chocolate mousse, prepared from mix, no-bake type                       0.0
Cookies, graham crackers, plain or honey (includes cinnamon)                 0.0
Cookies, gingersnaps                                                         0.0
Cookies, shortbread, commercially prepared, pecan                            0.0
Cookies, brownies, dry mix, sugar free                                       0.0
Cookies, chocolate chip, commercially prepared, special dietary              0.0
Cookies, fig bars                                                            0.0
