|NDB_No|FdGrp_Cd|Long_Desc|DHA
2982|11233|1100|Kale, raw (Brassica oleracea (Acephala Group))|0.0
2981|11232|1100|Jute, potherb, cooked, boiled, drained, without salt|0.0
3008|11260|1100|Mushrooms, white, raw (Agaricus bisporus)|0.0
3009|11261|1100|Mushrooms, white, cooked, boiled, drained, without salt (Agaricus bisporus)|0.0
3010|11263|1100|Mushrooms, white, stir-fried (Agaricus bisporus)|0.0
3021|11274|1100|Mustard spinach, (tendergreen), raw (Brassica rapa (Perviridis Group))|0.0
3031|11284|1100|Onions, dehydrated flakes|0.0
3030|11283|1100|Onions, cooked, boiled, drained, without salt|0.0
3029|11282|1100|Onions, raw (Allium cepa)|0.0
3028|11281|1100|Okra, frozen, cooked, boiled, drained, without salt|0.0
3027|11280|1100|Okra, frozen, unprepared|0.0
3026|11279|1100|Okra, cooked, boiled, drained, without salt|0.0
3025|11278|1100|Okra, raw (Abelmoschus esculentus)|0.0
3020|11273|1100|Mustard greens, frozen, cooked, boiled, drained, without salt|0.0
3011|11264|1100|Mushrooms, canned, drained solids|0.0
3019|11272|1100|Mustard greens, frozen, unprepared|0.0
3018|11271|1100|Mustard greens, cooked, boiled, drained, without salt|0.0
3017|11270|1100|Mustard greens, raw (Brassica juncea)|0.0
3016|11269|1100|Mushrooms, shiitake, cooked, without salt|0.0
3015|11268|1100|Mushrooms, shiitake, dried (Lentinus edodes)|0.0
3014|11267|1100|Mushrooms, shiitake, stir-fried (Lentinus edodes)|0.0
3013|11266|1100|Mushrooms, brown, italian, or crimini, raw (Agaricus bisporus)|0.0
2977|11226|1100|Jerusalem-artichokes, raw (Helianthus tuberosus)|0.0
2975|11224|1100|Hyacinth-beans, immature seeds, raw (Dolichos lablab)|0.0
2974|11223|1100|Drumstick leaves, cooked, boiled, drained, without salt|0.0
2929|11164|1100|Collards, frozen, chopped, cooked, boiled, drained, without salt|0.0
2936|11176|1100|Corn, sweet, yellow, canned, vacuum pack, regular pack|0.0
2935|11174|1100|Corn, sweet, yellow, canned, cream style, regular pack|0.0
2934|11172|1100|Corn, sweet, yellow, canned, whole kernel, drained solids|0.0
2933|11170|1100|Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids|0.0
2932|11168|1100|Corn, sweet, yellow, cooked, boiled, drained, without salt|0.0
2931|11167|1100|Corn, sweet, yellow, raw (Zea mays)|0.0
2930|11165|1100|Coriander (cilantro) leaves, raw (Coriandrum sativum)|0.0
2928|11163|1100|Collards, frozen, chopped, unprepared|0.0
2938|11178|1100|Corn, sweet, yellow, frozen, kernels cut off cob, unprepared|0.0
2927|11162|1100|Collards, cooked, boiled, drained, without salt|0.0
2926|11161|1100|Collards, raw (Brassica oleracea var. viridis)|0.0
2925|11158|1100|Chrysanthemum, garland, cooked, boiled, drained, without salt|0.0
2923|11156|1100|Chives, raw (Allium schoenoprasum)|0.0
2921|11152|1100|Chicory greens, raw (Cichorium intybus)|0.0
2919|11150|1100|Chayote, fruit, cooked, boiled, drained, without salt|0.0
2918|11149|1100|Chayote, fruit, raw (Sechium edule)|0.0
2937|11177|1100|Corn, sweet, yellow, canned, drained solids, rinsed with tap water|0.0
2939|11179|1100|Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt|0.0
2968|11216|1100|Ginger root, raw (Zingiber officinale)|0.0
2959|11207|1100|Dandelion greens, raw (Taraxacum officinale)|0.0
2967|11215|1100|Garlic, raw (Allium sativum)|0.0
2966|11214|1100|Escarole, cooked, boiled, drained, no salt added|0.0
2965|11213|1100|Endive, raw (Cichorium endivia)|0.0
2964|11212|1100|Edamame, frozen, prepared|0.0
2962|11210|1100|Eggplant, cooked, boiled, drained, without salt|0.0
2961|11209|1100|Eggplant, raw (Solanum melongena)|0.0
2960|11208|1100|Dandelion greens, cooked, boiled, drained, without salt|0.0
2958|11206|1100|Cucumber, peeled, raw|0.0
2942|11182|1100|Corn, yellow, whole kernel, frozen, microwaved|0.0
2957|11205|1100|Cucumber, with peel, raw (Cucumis sativus)|0.0
2956|11204|1100|Cress, garden, cooked, boiled, drained, without salt|0.0
2955|11203|1100|Cress, garden, raw (Lepidium sativum)|0.0
2949|11197|1100|Cowpeas, young pods with seeds, raw (Vigna unguiculata subsp. unguiculata)|0.0
2948|11196|1100|Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt|0.0
2947|11195|1100|Cowpeas (blackeyes), immature seeds, frozen, unprepared|0.0
2946|11192|1100|Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt|0.0
255|2006|200|Spices, cardamom (Elettaria cardamomum)|
262|2013|200|Spices, coriander seed (Coriandrum sativum)|
266|2017|200|Spices, dill weed, dried (Anethum graveolens)|
267|2018|200|Spices, fennel seed (Foeniculum vulgare)|
268|2019|200|Spices, fenugreek seed (Trigonella foenum-graecum)|
281|2032|200|Spices, pepper, white (Piper nigrum)|
288|2039|200|Spices, savory, ground (Satureja hortensis)|
293|2045|200|Dill weed, fresh (Anethum graveolens)|
297|2049|200|Thyme, fresh (Thymus vulgaris)|
299|2051|200|Vanilla extract, imitation, alcohol|
304|2063|200|Rosemary, fresh (Rosmarinus officinalis)|
305|2064|200|Peppermint, fresh (Mentha x piperita L. nothosubsp. piperita)|
306|2065|200|Spearmint, fresh (Mentha spicata)|
307|2066|200|Spearmint, dried|
308|2068|200|Vinegar, red wine|
309|2069|200|Vinegar, balsamic|
310|2073|200|PACE, Dry Taco Seasoning Mix|
311|2074|200|Seasoning mix, dry, sazon, coriander & annatto|
312|2075|200|Seasoning mix, dry, taco, original|
313|2076|200|Seasoning mix, dry, chili, original|
1835|8096|800|Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry|
1850|8124|800|Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry|
1864|8156|800|Cereals ready-to-eat, rice, puffed, fortified|
1865|8157|800|Cereals ready-to-eat, wheat, puffed, fortified|
1875|8177|800|Cereals, MALT-O-MEAL, chocolate, dry|
1887|8210|800|Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE|
1894|8221|800|Cereals, QUAKER, Instant Grits, Butter flavor, dry|
1896|8228|800|Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry|
1897|8231|800|Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry|
1925|8314|800|Cereals, QUAKER, hominy grits, white, quick, dry|
1926|8316|800|Cereals, QUAKER, hominy grits, white, regular, dry|
1928|8319|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, bite size|
1931|8348|800|Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice|
1933|8351|800|Cereals ready-to-eat, QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal|
1934|8352|800|Cereals ready-to-eat, QUAKER, MOTHER'S Toasted Oat Bran cereal|
1935|8353|800|Cereals ready-to-eat, QUAKER, MOTHER'S Cinnamon Oat Crunch|
1936|8354|800|Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS|
1937|8355|800|Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS|
1938|8363|800|Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran|
1939|8365|800|Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal|
1940|8366|800|Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Wheat Germ, Regular|
1941|8370|800|Cereals ready-to-eat, GENERAL MILLS, RICE CRUNCHINS|
1955|8411|800|Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry|
1956|8417|800|Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry|
1959|8444|800|Cereals, QUAKER, Instant Grits, Redeye Gravy & Country Ham flavor, dry|
1960|8449|800|Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry|
1961|8450|800|Cereals, QUAKER, Instant Grits, Ham 'n' Cheese flavor, dry|
1962|8451|800|Cereals, QUAKER, Quick Oats with Iron, Dry|
1963|8452|800|Cereals, QUAKER, Whole Wheat Natural Cereal, dry|
1964|8453|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Chocolatey Strawberry|
1965|8459|800|Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS, Maple & Brown Sugar, Bite Size|
1967|8463|800|Cereals ready-to-eat, KASHI ORGANIC PROMISE, STRAWBERRY FIELDS|
1969|8471|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K Protein Plus|
1970|8476|800|Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS|
1972|8481|800|Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHAM SQUARES|
1974|8487|800|Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal|
1975|8488|800|Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal, dry|
1976|8489|800|Cereals, MALT-O-MEAL, Maple & Brown Sugar Hot Wheat Cereal, dry|
1977|8491|800|Cereals ready-to-eat, MOM'S BEST, Honey Nut TOASTY O'S|
1978|8493|800|Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS|
1990|8511|800|Cereals, MALT-O-MEAL, original, plain, prepared with water, without salt|
1991|8512|800|Cereals, MALT-O-MEAL, chocolate, prepared with water, without salt|
1994|8537|800|Cereals ready-to-eat, KASHI 7 Whole Grain Flakes|
1996|8539|800|Cereals ready-to-eat, KASHI ORGANIC PROMISE, CINNAMON HARVEST|
1997|8542|800|Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS Bite Size Strawberry Delight|
2001|8549|800|Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal|
2006|8561|800|Cereals, KASHI GO LEAN Hot Cereal, Hearty Honey & Cinnamon, dry|
2007|8562|800|Cereals, KASHI GO LEAN Hot Cereal, Creamy TRULY VANILLA, dry|
2008|8567|800|Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets|
2009|8568|800|Cereals, KASHI HEART TO HEART, Instant Oatmeal, Apple Cinnamon, dry|
2010|8569|800|Cereals, KASHI HEART TO HEART, Instant Oatmeal, golden brown maple, dry|
2019|8580|800|Incaparina, dry mix (corn and soy flours), unprepared|
2024|8587|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Low Fat Granola|
2026|8589|800|Cereals ready-to-eat, KASHI GOLEAN CRISP Toasted Berry Crumble|
2027|8590|800|Cereals ready-to-eat, KASHI HEART TO HEART, Warm Cinnamon|
2028|8591|800|Cereals ready-to-eat, KASHI ORGANIC PROMISE, ISLAND VANILLA|
2038|8608|800|Cereals ready-to-eat, KASHI Berry Blossom|
2040|8613|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Multigrain Oats and Honey|
2041|8615|800|Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes|
2042|8617|800|Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Blueberry Muffin|
2043|8625|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch|
2044|8627|800|Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond|
2045|8628|800|Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal|
2046|8629|800|Cereals ready-to-eat, QUAKER, Cap'n Crunch's OOPS! All Berries Cereal|
2047|8631|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES, chocolate|
2048|8632|800|Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple|
2050|8634|800|Cereals ready-to-eat, GENERAL MILLS, PEANUT BUTTER TOAST CRUNCH|
2053|8639|800|Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, reduced sugar|
2054|8640|800|Cereals, QUAKER, Instant Oatmeal Organic, Regular|
2055|8641|800|Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar|
2056|8642|800|Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar|
2058|8647|800|Cereals ready-to-eat, KASHI INDIGO MORNING|
2059|8648|800|Cereals ready-to-eat, KASHI Simply Maize|
2060|8649|800|Cereals ready-to-eat, KASHI GOLEAN CRISP Cinnamon Crumble|
2061|8651|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Honey Squares|
2062|8652|800|Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal|
2063|8653|800|Cereals ready-to-eat, KELLOGG'S RICE KRISPIES, Gluten Free|
2067|8658|800|Cereals ready-to-eat, KELLOGG'S KRAVE double chocolate cereal|
2068|8659|800|Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES, CHOCO ZUCARITAS|
2069|8660|800|Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows|
2070|8661|800|Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS|
2071|8662|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries|
2072|8663|800|Cereals ready-to-eat, KASHI ORGANIC PROMISE, Berry Fruitful|
2073|8665|800|Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches|
2074|8666|800|Cereals ready-to-eat, GENERAL MILLS, Cinnamon Burst CHEERIOS|
2075|8668|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Nutty Clusters & Almonds|
2076|8669|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Chocolate Squares|
2077|8670|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS, MEDLEY CRUNCH|
2078|8671|800|Cereals ready-to-eat, GENERAL MILLS, Dulce De Leche CHEERIOS|
2079|8672|800|Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS|
2080|8673|800|Cereals, ready-to-eat, MALT-O-MEAL, Blueberry Mini SPOONERS|
2081|8674|800|Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey|
2082|8675|800|Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey & almonds|
2083|8676|800|Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS|
2084|8677|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle, Raspberry|
2085|8678|800|Cereals ready-to-eat, GENERAL MILLS, Apple Cinnamon CHEX|
2086|8679|800|Cereals ready-to-eat, GENERAL MILLS, FROSTED TOAST CRUNCH|
2088|8681|800|Cereals ready-to-eat, CASCADIAN FARM, Cinnamon Crunch|
2089|8682|800|Cereals ready-to-eat, GENERAL MILLS, Multi Grain CHEERIOS, Peanut Butter|
2090|8683|800|Cereals ready-to-eat, CASCADIAN FARM, Multi-Grain Squares|
2091|8684|800|Cereals ready-to-eat, CASCADIAN FARM, Honey Nut O's|
2092|8685|800|Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal|
2093|8686|800|Cereals, QUAKER, Weight Control Instant Oatmeal, maple and brown sugar|
2094|8687|800|Cereals, QUAKER, Weight Control Instant Oatmeal, banana bread|
2095|8688|800|Cereals, QUAKER, Instant Oatmeal, Cinnamon Swirl, high fiber|
2096|8689|800|Cereals, QUAKER, oatmeal, REAL MEDLEYS, blueberry hazelnut, dry|
2097|8690|800|Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple walnut, dry|
2098|8691|800|Cereals, QUAKER, oatmeal, REAL MEDLEYS, summer berry, dry|
2099|8692|800|Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach almond, dry|
2100|8693|800|Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry|
2101|8694|800|Cereals, QUAKER, Instant Oatmeal, weight control, cinnamon|
2102|8695|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, little bites|
2103|8696|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN, Cinnamon Almond|
2104|8697|800|Cereals ready-to-eat, KASHI ORGANIC PROMISE, RAISIN VINEYARD|
2105|8699|800|Cereals ready-to-eat, KELLOGG'S KRAVE Smores|
2106|8700|800|Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed|
2107|8701|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Multi-grain|
2108|8702|800|Cereals, KELLOGG'S SPECIAL K NOURISH, Cinnamon Raisin Pecan, dry|
2109|8703|800|Cereals, KELLOGG'S SPECIAL K NOURISH, Cranberry Almond, dry|
2110|8704|800|Cereals, KELLOGG'S SPECIAL K NOURISH, Maple Brown Sugar Crunch, dry|
2111|8705|800|Cereals ready-to-eat, KASHI GOLEAN Vanilla Graham Clusters|
2112|8706|800|Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal|
2113|8707|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond|
2114|8708|800|Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle, raisin|
2115|8709|800|Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS|
2116|8710|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K gluten free, touch of brown sugar|
2117|8711|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K protein, cinnamon brown sugar crunch|
2118|8712|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN with cranberries|
2128|9010|900|Apples, dehydrated (low moisture), sulfured, stewed|
2131|9013|900|Apples, dried, sulfured, stewed, with added sugar|
2132|9014|900|Apples, frozen, unsweetened, unheated|
2133|9015|900|Apples, frozen, unsweetened, heated|
2141|9023|900|Apricots, canned, water pack, without skin, solids and liquids|
2143|9025|900|Apricots, canned, extra light syrup pack, with skin, solids and liquids|
2146|9028|900|Apricots, canned, heavy syrup pack, without skin, solids and liquids|
2147|9029|900|Apricots, canned, extra heavy syrup pack, without skin, solids and liquids|
2148|9030|900|Apricots, dehydrated (low-moisture), sulfured, uncooked|
2149|9031|900|Apricots, dehydrated (low-moisture), sulfured, stewed|
2152|9034|900|Apricots, dried, sulfured, stewed, with added sugar|
2157|9039|900|Avocados, raw, Florida (Persea americana)|
2167|9053|900|Blueberries, wild, frozen|
2174|9061|900|Carissa, (natal-plum), raw (Carissa macrocarpa)|
2178|9065|900|Cherries, sour, red, canned, light syrup pack, solids and liquids|
2180|9067|900|Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids|
2187|9075|900|Cherries, sweet, canned, extra heavy syrup pack, solids and liquids|
2189|9077|900|Crabapples, raw (Malus spp.)|
2193|9082|900|Cranberry-orange relish, canned|
2194|9083|900|Currants, european black, raw (Ribes nigrum)|
2197|9086|900|Custard-apple, (bullock's-heart), raw (Annona reticulata)|
2204|9093|900|Figs, canned, extra heavy syrup pack, solids and liquids|
2209|9098|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids|
2212|9101|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids|
2213|9102|900|Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids|
2214|9103|900|Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids|
2215|9104|900|Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids|
2217|9106|900|Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids|
2220|9110|900|Goji berries, dried (Lycium barbarum L.)|
2223|9113|900|Grapefruit, raw, pink and red, California and Arizona (Citrus paradisi)|
2226|9117|900|Grapefruit, raw, white, California (Citrus paradisi)|
2227|9118|900|Grapefruit, raw, white, Florida (Citrus paradisi)|
2237|9129|900|Grapes, muscadine, raw (Vitis rotundifolia)|
2244|9138|900|Groundcherries, (cape-gooseberries or poha), raw (Physalis spp.)|
2246|9140|900|Guavas, strawberry, raw (Psidium cattleianum)|
2249|9145|900|Java-plum, (jambolan), raw (Syzygium cumini)|
2250|9146|900|Jujube, raw (Ziziphus jujuba)|
2251|9147|900|Jujube, Chinese, fresh, dried|
2266|9172|900|Longans, raw (Dimocarpus longan)|
2267|9173|900|Longans, dried|
2271|9177|900|Mangosteen, canned, syrup pack (Garcinia mangostana)|
2279|9192|900|Oheloberries, raw (Vaccinium reticulatum)|
2284|9201|900|Oranges, raw, California, valencias (Citrus sinensis)|
2285|9202|900|Oranges, raw, navels (Citrus sinensis)|
2313|9239|900|Peaches, canned, extra light syrup, solids and liquids|
2316|9242|900|Peaches, canned, extra heavy syrup pack, solids and liquids|
2318|9244|900|Peaches, dehydrated (low-moisture), sulfured, uncooked|
2319|9245|900|Peaches, dehydrated (low-moisture), sulfured, stewed|
2328|9255|900|Pears, canned, extra light syrup pack, solids and liquids|
2331|9258|900|Pears, canned, extra heavy syrup pack, solids and liquids|
2337|9264|900|Persimmons, japanese, dried|
2338|9265|900|Persimmons, native, raw (Diospyros virginiana)|
2344|9271|900|Pineapple, canned, extra heavy syrup pack, solids and liquids|
2349|9276|900|Pitanga, (surinam-cherry), raw (Eugenia uniflora)|
2357|9285|900|Plums, canned, purple, extra heavy syrup pack, solids and liquids|
2360|9288|900|Prunes, canned, heavy syrup pack, solids and liquids (Prunus domestica)|
2361|9289|900|Prunes, dehydrated (low-moisture), uncooked|
2362|9290|900|Prunes, dehydrated (low-moisture), stewed|
2367|9295|900|Pummelo, raw (Citrus maxima)|
2372|9301|900|Rambutan, canned, syrup pack (Nephelium lappaceum)|
2379|9311|900|Roselle, raw (Hibiscus sabdariffa)|
2380|9312|900|Rose-apples, raw (Syzygium jambos)|
2398|9353|900|Blueberries, wild, canned, heavy syrup, drained|
2401|9362|900|Cherries, sour, canned, water pack, drained|
2408|9401|900|Applesauce, canned, unsweetened, with added ascorbic acid|
2409|9402|900|Applesauce, canned, sweetened, with salt|
2410|9403|900|Apricot nectar, canned, with added ascorbic acid|
2411|9404|900|Grapefruit juice, pink, raw|
2412|9407|900|Peach nectar, canned, with added ascorbic acid|
2413|9408|900|Pear nectar, canned, with added ascorbic acid|
2415|9410|900|Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid|
2416|9411|900|Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid|
2417|9412|900|Pears, raw, bartlett (Pyrus communis)|
2418|9413|900|Pears, raw, red anjou (Pyrus communis)|
2419|9414|900|Pears, raw, bosc (Pyrus communis)|
2420|9415|900|Pears, raw, green anjou (Pyrus communis)|
2421|9416|900|Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY|
2422|9420|900|Jackfruit, canned, syrup pack (Artocarpus heterophyllus)|
2423|9421|900|Dates, medjool (Phoenix dactylifera)|
2424|9422|900|Durian, raw or frozen (Durio zibethinus)|
2425|9423|900|Prune puree|
2427|9427|900|Abiyuch, raw (Crateva religiosa)|
2428|9428|900|Rowal, raw (Pangium edule)|
2429|9429|900|Pineapple, raw, traditional varieties (Ananas comosus)|
2430|9430|900|Pineapple, raw, extra sweet variety (Ananas comosus)|
2431|9431|900|USDA Commodity, mixed fruit (peaches, pears, grapes), canned, light syrup, drained|
2432|9432|900|USDA Commodity, mixed fruit (peaches, pears, grapes), canned, light syrup, solids and liquids|
2433|9433|900|Clementines, raw (Citrus clementina hort. ex Tanaka)|
2435|9435|900|Guava nectar, canned, with added ascorbic acid|
2437|9437|900|Tamarind nectar, canned|
2438|9438|900|USDA Commodity peaches, canned, light syrup, drained|
2439|9439|900|USDA Commodity pears, canned, juice pack, drained|
2440|9440|900|USDA Commodity pears, canned, light syrup, drained|
2446|9448|900|Nance, canned, syrup, drained|
2447|9449|900|Nance, frozen, unsweetened (Byrsonima crassifolia (L.) Kunth)|
2448|9450|900|Naranjilla (lulo) pulp, frozen, unsweetened (Solanum quitoense Lam.)|
2449|9451|900|Horned melon (Kiwano) (Cucumis metulifer)|
2451|9500|900|Apples, raw, red delicious, with skin (Malus domestica)|
2452|9501|900|Apples, raw, golden delicious, with skin (Malus domestica)|
2453|9502|900|Apples, raw, granny smith, with skin (Malus domestica)|
2454|9503|900|Apples, raw, gala, with skin (Malus domestica)|
2455|9504|900|Apples, raw, fuji, with skin (Malus domestica)|
2457|9507|900|Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO|
2459|9510|900|Pineapple juice, canned, not from concentrate, unsweetened, with added vitamins A, C and E|
2460|9511|900|Fruit juice smoothie, NAKED JUICE, BLUE MACHINE|
2463|9514|900|Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST|
2471|9523|900|Lemon juice from concentrate, bottled, CONCORD|
2473|9525|900|Cranberry sauce, whole, canned, OCEAN SPRAY|
2474|9526|900|Cranberry sauce, jellied, canned, OCEAN SPRAY|
2475|9528|900|Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C|
2815|11003|1100|Amaranth leaves, raw (Amaranthus spp.)|
2816|11004|1100|Amaranth leaves, cooked, boiled, drained, without salt|
2817|11005|1100|Arrowhead, raw (Sagittaria latifolia)|
2818|11006|1100|Arrowhead, cooked, boiled, drained, without salt|
2821|11009|1100|Artichokes, (globe or french), frozen, unprepared|
2829|11022|1100|Balsam-pear (bitter gourd), leafy tips, raw (Momordica charantia)|
2831|11024|1100|Balsam-pear (bitter gourd), pods, raw (Momordica charantia)|
2834|11027|1100|Bamboo shoots, cooked, boiled, drained, without salt|
2836|11029|1100|Beans, kidney, mature seeds, sprouted, raw (Phaseolus vulgaris)|
2837|11030|1100|Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt|
2847|11045|1100|Mung beans, mature seeds, sprouted, cooked, stir-fried|
2848|11046|1100|Beans, navy, mature seeds, sprouted, raw (Phaseolus vulgaris)|
2849|11047|1100|Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt|
2850|11048|1100|Beans, pinto, immature seeds, frozen, unprepared|
2851|11049|1100|Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt|
2857|11058|1100|Beans, snap, canned, all styles, seasoned, solids and liquids|
2861|11063|1100|Beans, snap, green, microwaved|
2868|11088|1100|Broadbeans, immature seeds, raw (Vicia faba)|
2869|11089|1100|Broadbeans, immature seeds, cooked, boiled, drained, without salt|
2874|11094|1100|Broccoli, frozen, spears, unprepared|
2884|11106|1100|Butterbur, (fuki), raw (Petasites japonicus)|
2885|11107|1100|Butterbur, cooked, boiled, drained, without salt|
2886|11108|1100|Butterbur, canned|
2892|11115|1100|Cabbage, savoy, cooked, boiled, drained, without salt|
2897|11120|1100|Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt|
2898|11122|1100|Cardoon, raw (Cynara cardunculus)|
2899|11123|1100|Cardoon, cooked, boiled, drained, without salt|
2912|11142|1100|Celeriac, cooked, boiled, drained, without salt|
2915|11145|1100|Celtuce, raw (Lactuca sativa)|
2920|11151|1100|Chicory, witloof, raw (Cichorium intybus)|
2922|11154|1100|Chicory roots, raw (Cichorium intybus)|
2924|11157|1100|Chrysanthemum, garland, raw (Chrysanthemum coronarium)|
2940|11180|1100|Corn, sweet, yellow, frozen, kernels on cob, unprepared|
2941|11181|1100|Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt|
2943|11184|1100|Corn with red and green peppers, canned, solids and liquids|
2944|11190|1100|Cornsalad, raw (Valerianella locusta)|
2945|11191|1100|Cowpeas (blackeyes), immature seeds, raw (Vigna unguiculata subsp. unguiculata)|
2950|11198|1100|Cowpeas, young pods with seeds, cooked, boiled, drained, without salt|
2951|11199|1100|Yardlong bean, raw (Vigna unguiculata subsp. sesquipedalis)|
2952|11200|1100|Yardlong bean, cooked, boiled, drained, without salt|
