|NDB_No|FdGrp_Cd|Long_Desc|DHA
8090|28288|1800|Bread, roll, Mexican, bollilo|0.0
8091|28289|1800|Cookie, vanilla with caramel, coconut, and chocolate coating|0.0
8092|28290|1800|Cookie, with peanut butter filling, chocolate-coated|0.0
5770|18267|1800|English muffins, whole-wheat, toasted|0.0
5769|18266|1800|English muffins, whole-wheat|0.0
5768|18265|1800|English muffins, wheat, toasted|0.0
5767|18264|1800|English muffins, wheat|0.0
8125|28323|1800|Pancakes, plain, low fat, dry mix, incomplete (includes buttermilk)|0.0
5766|18263|1800|English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)|0.0
5799|18302|1800|Pie, apple, prepared from recipe|0.0
8598|42196|1900|Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar|0.0
5826|18336|1800|Pie crust, standard-type, prepared from recipe, baked|0.0
5825|18335|1800|Pie crust, standard-type, frozen, ready-to-bake, enriched, baked|0.0
5691|18179|1800|Cookies, oatmeal, commercially prepared, soft-type|0.0
5690|18178|1800|Cookies, oatmeal, commercially prepared, regular|0.0
5824|18334|1800|Pie crust, standard-type, frozen, ready-to-bake, enriched|0.0
5822|18332|1800|Pie crust, standard-type, dry mix|0.0
5819|18326|1800|Pie, pumpkin, commercially prepared|0.0
5689|18177|1800|Cookies, molasses|0.0
5817|18324|1800|Pie, pecan, commercially prepared|0.0
5816|18323|1800|Pie, peach|0.0
5815|18322|1800|Pie, mince, prepared from recipe|0.0
5688|18176|1800|Cookies, marshmallow, chocolate-coated (includes marshmallow pies)|0.0
5703|18192|1800|Cookies, shortbread, commercially prepared, plain|0.0
8120|28318|1800|Bread, french or vienna, whole wheat|0.0
8116|28314|1800|Crackers, sandwich-type, peanut butter filled, reduced fat|0.0
8118|28316|1800|Bread, wheat, sprouted|0.0
8117|28315|1800|Bread, cinnamon|0.0
5828|18338|1800|Phyllo dough|0.0
5701|18190|1800|Cookies, peanut butter sandwich, regular|0.0
5692|18180|1800|Cookies, oatmeal, dry mix|0.0
8599|42200|1600|Papad|0.0
5827|18337|1800|Puff pastry, frozen, ready-to-bake|0.0
5686|18174|1800|Cookies, graham crackers, chocolate-coated|0.0
5804|18308|1800|Pie, cherry, commercially prepared|0.0
5803|18306|1800|Pie, blueberry, prepared from recipe|0.0
5802|18305|1800|Pie, blueberry, commercially prepared|0.0
5708|18200|1800|Cookies, oatmeal, commercially prepared, special dietary|0.0
5680|18167|1800|Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated|0.0
5679|18166|1800|Cookies, chocolate sandwich, with creme filling, regular|0.0
5806|18310|1800|Pie, chocolate creme, commercially prepared|0.0
8121|28319|1800|Bagels, whole grain white|0.0
5800|18303|1800|Pie, banana cream, prepared from mix, no-bake type|0.0
8094|28292|1800|Crackers, multigrain|0.0
5709|18201|1800|Cookies, peanut butter sandwich, special dietary|0.0
5805|18309|1800|Pie, cherry, prepared from recipe|0.0
5807|18312|1800|Pie, chocolate mousse, prepared from mix, no-bake type|0.0
5685|18173|1800|Cookies, graham crackers, plain or honey (includes cinnamon)|0.0
5684|18172|1800|Cookies, gingersnaps|0.0
5704|18193|1800|Cookies, shortbread, commercially prepared, pecan|0.0
5705|18196|1800|Cookies, brownies, dry mix, sugar free|0.0
5706|18198|1800|Cookies, chocolate chip, commercially prepared, special dietary|0.0
5682|18170|1800|Cookies, fig bars|0.0
5812|18319|1800|Pie, fried pies, fruit|0.0
5810|18316|1800|Pie, coconut custard, commercially prepared|0.0
5809|18314|1800|Pie, coconut cream, prepared from mix, no-bake type|0.0
5681|18168|1800|Cookies, chocolate sandwich, with extra creme filling|0.0
5707|18199|1800|Cookies, chocolate sandwich, with creme filling, special dietary|0.0
5808|18313|1800|Pie, coconut creme, commercially prepared|0.0
8129|28327|1800|Crackers, water biscuits|0.0
8198|28397|1800|Bread, multi-grain (includes whole-grain)|0.0
8199|28399|1800|Cookies, animal crackers (includes arrowroot, tea biscuits)|0.0
5644|18112|1800|Cake, pudding-type, german chocolate, dry mix|0.0
5736|18230|1800|Crackers, standard snack-type, sandwich, with cheese filling|0.0
5735|18229|1800|Crackers, standard snack-type, regular|0.0
8145|28343|1800|Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour|0.0
5588|18033|1800|Bread, italian|0.0
8136|28334|1800|Cookies, gluten-free, lemon wafer|0.0
5589|18036|1800|Bread, multi-grain, toasted (includes whole-grain)|0.0
5641|18107|1800|Coffeecake, cinnamon with crumb topping, dry mix|0.0
5720|18214|1800|Crackers, cheese, regular|0.0
5734|18228|1800|Crackers, saltines (includes oyster, soda, soup)|0.0
5721|18215|1800|Crackers, cheese, sandwich-type with peanut butter filling|0.0
5733|18227|1800|Crackers, rye, wafers, seasoned|0.0
5590|18037|1800|Bread, oat bran|0.0
5732|18226|1800|Crackers, rye, wafers, plain|0.0
5591|18038|1800|Bread, oat bran, toasted|0.0
8137|28335|1800|Cookies, gluten-free, vanilla sandwich, with creme filling|0.0
8138|28336|1800|Bread, gluten-free, white, made with potato extract, rice starch, and rice flour|0.0
5592|18039|1800|Bread, oatmeal|0.0
5593|18040|1800|Bread, oatmeal, toasted|0.0
5594|18041|1800|Bread, pita, white, enriched|0.0
5737|18231|1800|Crackers, standard snack-type, sandwich, with peanut butter filling|0.0
5738|18232|1800|Crackers, wheat, regular|0.0
8095|28293|1800|Cookie, butter or sugar, with chocolate icing or filling|0.0
5586|18030|1800|Bread, french or vienna, toasted (includes sourdough)|0.0
5741|18235|1800|Crackers, whole-wheat|0.0
5572|18013|1800|Biscuits, plain or buttermilk, refrigerated dough, lower fat, baked|0.0
5740|18234|1800|Crackers, wheat, sandwich, with peanut butter filling|0.0
5573|18014|1800|Biscuits, plain or buttermilk, refrigerated dough, higher fat|0.0
5739|18233|1800|Crackers, wheat, sandwich, with cheese filling|0.0
5574|18015|1800|Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked|0.0
5575|18016|1800|Biscuits, plain or buttermilk, prepared from recipe|0.0
5576|18017|1800|Biscuits, mixed grain, refrigerated dough|0.0
8151|28349|1800|Cookies, oatmeal, reduced fat|0.0
5578|18021|1800|Bread, boston brown, canned|0.0
5579|18022|1800|Bread, cornbread, dry mix, enriched (includes corn muffin mix)|0.0
8149|28347|1800|Pancakes, gluten-free, frozen, ready-to-heat|0.0
8135|28333|1800|Cookies, gluten-free, chocolate wafer|0.0
8148|28346|1800|Waffles, gluten-free, frozen, ready-to-heat|0.0
5645|18114|1800|Cake, gingerbread, dry mix|0.0
5582|18025|1800|Bread, cracked-wheat|0.0
8147|28345|1800|Crackers, gluten-free, multi-seeded and multigrain|0.0
8146|28344|1800|Crackers, gluten-free, multigrain and vegetable, made with corn starch and white rice flour|0.0
5585|18029|1800|Bread, french or vienna (includes sourdough)|0.0
5731|18225|1800|Crackers, rye, sandwich-type with cheese filling|0.0
8111|28309|1800|Cookies, coconut macaroon|0.0
8139|28337|1800|Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca|0.0
5636|18102|1800|Cake, white, prepared from recipe with coconut frosting|0.0
5611|18065|1800|Bread, wheat, toasted|0.0
5612|18066|1800|Bread, wheat bran|0.0
5613|18069|1800|Bread, white, commercially prepared (includes soft bread crumbs)|0.0
5614|18070|1800|Bread, white, commercially prepared, toasted|0.0
5615|18071|1800|Bread, white, prepared from recipe, made with nonfat dry milk|0.0
8112|28310|1800|Cookies, shortbread, reduced fat|0.0
5616|18073|1800|Bread, white, prepared from recipe, made with low fat (2%) milk|0.0
5617|18075|1800|Bread, whole-wheat, commercially prepared|0.0
5618|18076|1800|Bread, whole-wheat, commercially prepared, toasted|0.0
5619|18077|1800|Bread, whole-wheat, prepared from recipe|0.0
5620|18078|1800|Bread, whole-wheat, prepared from recipe, toasted|0.0
5621|18079|1800|Bread crumbs, dry, grated, plain|0.0
5622|18080|1800|Bread sticks, plain|0.0
5623|18081|1800|Bread stuffing, bread, dry mix|0.0
5624|18082|1800|Bread stuffing, bread, dry mix, prepared|0.0
5626|18085|1800|Bread stuffing, cornbread, dry mix, prepared|0.0
5628|18087|1800|Cake, angelfood, dry mix|0.0
5629|18088|1800|Cake, angelfood, dry mix, prepared|0.0
5722|18216|1800|Crackers, crispbread, rye|0.0
5610|18064|1800|Bread, wheat|0.0
5609|18061|1800|Bread, rye, toasted|0.0
5608|18060|1800|Bread, rye|0.0
5599|18047|1800|Bread, raisin, enriched|0.0
8140|28338|1800|Bread, gluten-free, white, made with tapioca starch and brown rice flour|0.0
5634|18097|1800|Cake, pudding-type, chocolate, dry mix|0.0
5595|18042|1800|Bread, pita, whole-wheat|0.0
5727|18221|1800|Crackers, melba toast, rye (includes pumpernickel)|0.0
5596|18043|1800|Bread, protein (includes gluten)|0.0
5597|18044|1800|Bread, pumpernickel|0.0
5633|18096|1800|Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery|0.0
5598|18045|1800|Bread, pumpernickel, toasted|0.0
5600|18048|1800|Bread, raisin, enriched, toasted|0.0
5607|18059|1800|Bread, rice bran|0.0
5601|18049|1800|Bread, reduced-calorie, oat bran|0.0
5602|18050|1800|Bread, reduced-calorie, oat bran, toasted|0.0
5726|18220|1800|Crackers, melba toast, plain|0.0
5725|18219|1800|Crackers, matzo, whole-wheat|0.0
8141|28339|1800|Bread, gluten-free, whole grain, made with tapioca starch and brown rice flour|0.0
5604|18053|1800|Bread, reduced-calorie, rye|0.0
5605|18055|1800|Bread, reduced-calorie, wheat|0.0
5606|18057|1800|Bread, reduced-calorie, white|0.0
5571|18012|1800|Biscuits, plain or buttermilk, refrigerated dough, lower fat|0.0
5569|18010|1800|Biscuits, plain or buttermilk, dry mix|0.0
5568|18009|1800|Biscuits, plain or buttermilk, frozen, baked|0.0
8102|28300|1800|Cookies, oatmeal sandwich, with creme filling|0.0
8592|42186|1900|Frozen yogurts, chocolate|0.0
5754|18249|1800|Doughnuts, cake-type, plain, chocolate-coated or frosted|0.0
5659|18140|1800|Cake, yellow, commercially prepared, with chocolate frosting, in-store bakery|0.0
8173|28372|1800|UDI'S, Gluten Free, Soft & Hearty Whole Grain Bread|0.0
5658|18139|1800|Cake, white, prepared from recipe without frosting|0.0
5657|18135|1800|Cake, pudding-type, white, enriched, dry mix|0.0
8130|28328|1800|Cookies, chocolate chip sandwich, with creme filling|0.0
8131|28329|1800|Cookies, chocolate, made with rice cereal|0.0
8172|28371|1800|UDI'S, Gluten Free, Soft & Delicious White Sandwich Bread|0.0
8170|28369|1800|SCHAR, Gluten-Free, Wheat-Free, Classic White Bread|0.0
8169|28368|1800|SCHAR, Gluten-Free, Classic White Rolls|0.0
8168|28367|1800|SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies|0.0
8167|28366|1800|RUDI'S, Gluten-Free Bakery, Original Sandwich Bread|0.0
8100|28298|1800|Cookies, brownies, commercially prepared, reduced fat, with added fiber|0.0
8560|42040|1900|Syrups, grenadine|0.0
8101|28299|1800|Cookies, chocolate sandwich, with creme filling, reduced fat|0.0
8097|28295|1800|Tortillas, ready-to-bake or -fry, whole wheat|0.0
8593|42187|1900|Frozen yogurts, flavors other than chocolate|0.0
8143|28341|1800|Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch|0.0
8176|28375|1800|VAN'S, Gluten Free, Totally Original Waffles|0.0
8175|28374|1800|VAN'S, Gluten Free, Totally Original Pancakes|0.0
8174|28373|1800|UDI'S, Gluten Free, Whole Grain Dinner Rolls|0.0
5717|18211|1800|Puff pastry, frozen, ready-to-bake, baked|0.0
8113|28311|1800|Cookies, sugar wafer, chocolate-covered|0.0
8096|28294|1800|Cookie, chocolate, with icing or coating|0.0
5719|18213|1800|Cookies, vanilla wafers, higher fat|0.0
5742|18236|1800|Cracker meal|0.0
8562|42063|1900|Pectin, liquid|0.0
8156|28355|1800|CRUNCHMASTER, Multi-Grain Crisps, Snack Crackers, Gluten-Free|0.0
8570|42131|1900|Milk dessert, frozen, milk-fat free, chocolate|0.0
5747|18242|1800|Croutons, plain|0.0
8154|28352|1800|Cookies, vanilla sandwich with creme filling, reduced fat|0.0
8105|28303|1800|Crackers, cheese, whole grain|0.0
8153|28351|1800|Cookies, Marie biscuit|0.0
5562|18001|1800|Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)|0.0
5563|18002|1800|Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted|0.0
8133|28331|1800|Crackers, flavored, fish-shaped|0.0
8134|28332|1800|Cookies, gluten-free, chocolate sandwich, with creme filling|0.0
8152|28350|1800|Cookies, chocolate cream covered biscuit sticks|0.0
5565|18005|1800|Bagels, cinnamon-raisin|0.0
5647|18117|1800|Cake, pudding-type, marble, dry mix|0.0
8106|28304|1800|Waffles, whole wheat, lowfat, frozen, ready-to-heat|0.0
8108|28306|1800|Bread, chapati or roti, plain, commercially prepared|0.0
5566|18006|1800|Bagels, cinnamon-raisin, toasted|0.0
8109|28307|1800|Bread, naan, plain, commercially prepared, refrigerated|0.0
5567|18007|1800|Bagels, oat bran|0.0
8110|28308|1800|Crackers, standard snack-type, with whole wheat|0.0
8157|28356|1800|GLUTINO, Gluten Free Cookies, Chocolate Vanilla Creme|0.0
