row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
1818    8071       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY...     556.0
1812    8064       800     Cereals ready-to-eat, GENERAL MILLS, Rice CHEX     556.0
1971    8478       800    Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS     555.0
2052    8637       800  Cereals ready-to-eat, GENERAL MILLS, Oat Clust...     554.0
1829    8089       800      Cereals ready-to-eat, GENERAL MILLS, WHEATIES     554.0
1911    8267       800  Cereals ready-to-eat, GENERAL MILLS, FROSTED C...     554.0
1899    8239       800  Cereals ready-to-eat, GENERAL MILLS, Berry Bur...     549.0
1784    8017       800  Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP     546.0
7833   28025      1800  KELLOGG'S, EGGO, Thick & Fluffy, Waffles, Brow...     546.0
7834   28026      1800  KELLOGG'S, EGGO, Thick & Fluffy, Waffles, Orig...     546.0
3503   11892      1100  Turnip greens, frozen, cooked, boiled, drained...     538.0
3246   11575      1100  Turnip greens, frozen, cooked, boiled, drained...     538.0
2021    8583       800  Cereals ready-to-eat, GENERAL MILLS, Fruity CH...     534.0
2030    8593       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...     533.0
3187   11485      1100  Squash, winter, butternut, raw (Cucurbita mosc...     532.0
1983    8504       800  Cereals ready-to-eat, RALSTON Enriched Wheat B...     531.0
307     2066       200                                   Spearmint, dried     529.0
1776    8003       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE...     527.0
2049    8633       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...     527.0
3415   11799      1100  Mustard greens, cooked, boiled, drained, with ...     527.0
1914    8271       800   Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS     527.0
1913    8270       800  Cereals ready-to-eat, GENERAL MILLS, COUNT CHO...     526.0
3167   11458      1100     Spinach, cooked, boiled, drained, without salt     524.0
3468   11854      1100        Spinach, cooked, boiled, drained, with salt     524.0
