|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
8131|28329|1800|Cookies, chocolate, made with rice cereal|2.0
161|1187|100|Yogurt, chocolate, nonfat milk|2.0
7754|25067|2500|Formulated Bar, SOUTH BEACH protein bar|2.0
4429|14552|1400|Carbonated beverage, chocolate-flavored soda|2.0
6213|19189|1900|Puddings, chocolate, dry mix, regular, prepared with whole milk|2.0
8152|28350|1800|Cookies, chocolate cream covered biscuit sticks|2.0
4915|16227|1600|Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D|2.0
4265|14194|1400|Beverages, Cocoa mix, powder, prepared with water|2.0
98|1110|100|Milk shakes, thick chocolate|2.0
4376|14390|1400|Beverages, cocoa mix, with aspartame, powder, prepared with water|2.0
4256|14182|1400|Beverages, chocolate syrup, prepared with whole milk|2.0
189|1222|100|Yogurt, chocolate, nonfat milk, fortified with vitamin D|2.0
1783|8015|800|Cereals ready-to-eat, POST, COCOA PEBBLES|2.0
4390|14423|1400|Beverages, dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice|2.0
6242|19226|1900|Frostings, chocolate, creamy, ready-to-eat|2.0
4892|16166|1600|Soymilk, chocolate, unfortified|2.0
5666|18151|1800|Cookies, brownies, commercially prepared|2.0
6146|19114|1900|Ice creams, chocolate, light|2.0
4894|16168|1600|Soymilk, chocolate, with added calcium, vitamins A and D|2.0
6250|19235|1900|Puddings, chocolate, ready-to-eat, fat free|2.0
4351|14316|1400|Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk|2.0
4330|14280|1400|Beverages, tea, black, ready to drink, decaffeinated, diet|1.0
171|1202|100|Milk, chocolate, fluid, commercial, reduced fat, with added calcium|1.0
6906|21413|2100|Light Ice Cream, soft serve, blended with cookie pieces|1.0
6104|19069|1900|Candies, NESTLE, BUTTERFINGER Bar|1.0
6905|21412|2100|Light Ice Cream, soft serve, blended with milk chocolate candies|1.0
92|1104|100|Milk, chocolate, lowfat, with added vitamin A and vitamin D|1.0
8717|43369|1400|Beverages, Chocolate-flavored drink, whey and milk based|1.0
90|1102|100|Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D|1.0
4331|14281|1400|Beverages, tea, black, ready to drink, decaffeinated|1.0
91|1103|100|Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D|1.0
5756|18251|1800|Doughnuts, cake-type, chocolate, sugared or glazed|1.0
4243|14164|1400|Beverages, chocolate malt powder, prepared with 1% milk, fortified|1.0
238|1292|100|Milk, chocolate, fat free, with added vitamin A and vitamin D|1.0
