row      NDB_No  FdGrp_Cd                                          Long_Desc      FE
1774    8001       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...   17.60
4882   16156      1600  Peanut butter, chunky, vitamin and mineral for...   17.50
297     2049       200                     Thyme, fresh (Thymus vulgaris)   17.45
6111   19078      1900             Baking chocolate, unsweetened, squares   17.40
258     2009       200                               Spices, chili powder   17.30
1784    8017       800  Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP   17.30
8612   42261       800  Cereals ready-to-eat, POST, GREAT GRAINS Crunc...   17.30
8398   35170      3500  Seal, bearded (Oogruk), meat, low quadrant, ra...   17.00
8392   35164      3500  Seal, bearded (Oogruk), meat, dried, in oil (A...   17.00
1822    8078       800          Cereals ready-to-eat, GENERAL MILLS, TRIX   16.89
1911    8267       800  Cereals ready-to-eat, GENERAL MILLS, FROSTED C...   16.70
2021    8583       800  Cereals ready-to-eat, GENERAL MILLS, Fruity CH...   16.70
2030    8593       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   16.70
1899    8239       800  Cereals ready-to-eat, GENERAL MILLS, Berry Bur...   16.70
1913    8270       800  Cereals ready-to-eat, GENERAL MILLS, COUNT CHO...   16.70
1914    8271       800   Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS   16.70
2052    8637       800  Cereals ready-to-eat, GENERAL MILLS, Oat Clust...   16.70
4881   16155      1600  Peanut butter, smooth, vitamin and mineral for...   16.60
2586   10113      1000  Pork, fresh, variety meats and by-products, lu...   16.41
8613   42265       800  Cereals ready-to-eat, POST, GREAT GRAINS, Rais...   16.40
4350   14315      1400         Beverages, OVALTINE, chocolate malt powder   16.36
4346   14309      1400           Beverages, OVALTINE, Classic Malt powder   16.36
4179   14080      1400                  Beverages, rich chocolate, powder   16.36
265     2016       200             Spices, dill seed (Anethum graveolens)   16.33
262     2013       200        Spices, coriander seed (Coriandrum sativum)   16.32
7712   25016      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   16.31
254     2005       200                 Spices, caraway seed (Carum carvi)   16.23
8307   35028      3500  Cockles, raw (Alaska Native) (Clinocardium nut...   16.20
2070    8661       800     Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS   16.10
2069    8660       800  Cereals ready-to-eat, KELLOGG'S APPLE JACKS wi...   16.10
1992    8513       800  Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE...   16.10
2029    8592       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   16.10
1776    8003       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE...   16.10
8305   35026      3500  Chiton, leathery, gumboots (Alaska Native) (Ka...   16.00
1885    8204       800  Cereals ready-to-eat, chocolate-flavored frost...   15.87
8302   35023      3500  Caribou, liver, raw (Alaska Native) (Rangifer ...   15.70
4844   16108      1600                        Soybeans, mature seeds, raw   15.70
2025    8588       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNA...   15.69
6195   19166      1900  Cocoa, dry powder, unsweetened, processed with...   15.52
1882    8194       800  Cereals ready-to-eat, GENERAL MILLS, REESE'S P...   15.50
1792    8030       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT...   15.50
2064    8655       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   15.50
1942    8376       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSH...   15.50
1973    8484       800  Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran...   15.25
3698   12170      1200                      Seeds, sesame flour, high-fat   15.17
2076    8669       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
1968    8469       800  Cereals ready-to-eat, KELLOGG'S, Reduced Sugar...   15.00
2086    8679       800  Cereals ready-to-eat, GENERAL MILLS, FROSTED T...   15.00
2068    8659       800  Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES...   15.00
2003    8553       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   15.00
2067    8658       800  Cereals ready-to-eat, KELLOGG'S KRAVE double c...   15.00
1884    8202       800  Cereals ready-to-eat, GENERAL MILLS, OATMEAL C...   15.00
1902    8244       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
1910    8263       800  Cereals ready-to-eat, GENERAL MILLS, APPLE CIN...   15.00
2061    8651       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   15.00
2051    8635       800  Cereals ready-to-eat, GENERAL MILLS, COCOA PUF...   15.00
1777    8005       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...   15.00
8606   42236       800  Cereals ready-to-eat, frosted oat cereal with ...   15.00
3620   12024      1200    Seeds, sesame seeds, whole, roasted and toasted   14.76
5461   17364      1700  Lamb, New Zealand, imported, kidney, cooked, s...   14.70
7702   25005      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   14.67
3619   12023      1200  Seeds, sesame seeds, whole, dried (Sesamum ind...   14.55
3624   12034      1200             Seeds, sesame meal, partially defatted   14.55
2077    8670       800  Cereals ready-to-eat, GENERAL MILLS, HONEY NUT...   14.50
1903    8245       800  Cereals ready-to-eat, GENERAL MILLS, OATMEAL C...   14.50
6420   19859      1900      Cocoa, dry powder, hi-fat or breakfast, plain   14.50
6421   19860      1900  Cocoa, dry powder, hi-fat or breakfast, proces...   14.50
2041    8615       800  Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Go...   14.50
2050    8634       800  Cereals ready-to-eat, GENERAL MILLS, PEANUT BU...   14.50
5009   16422      1600                Soy protein isolate, potassium type   14.50
2062    8652       800  Cereals ready-to-eat, KELLOGG'S KRAVE chocolat...   14.50
1796    8035       800  Cereals ready-to-eat, GENERAL MILLS, GOLDEN GR...   14.50
2105    8699       800       Cereals ready-to-eat, KELLOGG'S KRAVE Smores   14.50
4858   16122      1600                                Soy protein isolate   14.50
1782    8014       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA...   14.50
517     3711       300  Babyfood, cereal, high protein, with apple and...   14.42
8350   35083      3500  Walrus, liver, raw (Alaska Native) (Odohenus r...   14.40
281     2032       200               Spices, pepper, white (Piper nigrum)   14.31
3622   12032      1200            Seeds, sesame flour, partially defatted   14.30
459     3205       300  Babyfood, oatmeal cereal with fruit, dry, inst...   14.30
3623   12033      1200                       Seeds, sesame flour, low-fat   14.22
7716   25021      2500      Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE   14.20
1807    8057       800  Cereals ready-to-eat, GENERAL MILLS, Honey Nut...   14.10
255     2006       200            Spices, cardamom (Elettaria cardamomum)   13.97
4636   15158      1500  Mollusks, clam, mixed species, cooked, breaded...   13.91
271     2022       200          Spices, mace, ground (Myristica fragrans)   13.90
1938    8363       800  Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER ...   13.88
6194   19165      1900                     Cocoa, dry powder, unsweetened   13.86
4855   16119      1600                            Soy meal, defatted, raw   13.70
1912    8268       800  Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY   13.60
1916    8273       800     Cereals ready-to-eat, GENERAL MILLS, BOO BERRY   13.60
8341   35072      3500  Seal, ringed, liver (Alaska Native) (Pusa hisp...   13.50
4870   16135      1600  Winged beans, mature seeds, raw (Psophocarpus ...   13.44
3612   12011      1200  Seeds, cottonseed meal, partially defatted (gl...   13.35
7966   28162      1800                      KELLOGG'S, Corn Flakes Crumbs   13.30
608     3964       300      Babyfood, fortified cereal bar, fruit filling   13.16
8327   35056      3500  Seal, bearded (Oogruk), meat, raw (Alaska Nati...   12.90
2018    8579       800  Cereals ready-to-eat, GENERAL MILLS, 25% Less ...   12.89
1116    5661       500     Chicken, liver, all classes, cooked, pan-fried   12.88
8607   42237       800  Cereals ready-to-eat, WEETABIX whole grain cereal   12.86
8676   43205       100  Beverage, instant breakfast powder, chocolate,...   12.82
2056    8642       800  Cereals, QUAKER, Instant Oatmeal, Apple and Ci...   12.77
3610   12007      1200  Seeds, cottonseed flour, partially defatted (g...   12.66
3611   12008      1200       Seeds, cottonseed flour, low fat (glandless)   12.58
5952   18562      1800  ARCHWAY Home Style Cookies, Reduced Fat Ginger...   12.57
5294   17196      1700  Lamb, variety meats and by-products, kidneys, ...   12.40
1810    8060       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISI...   12.33
2989   11240      1100             Mushrooms, morel, raw (Morchella spp.)   12.18
511     3689       300  Babyfood, cereal, oatmeal, prepared with whole...   12.14
508     3682       300  Babyfood, cereal, high protein, prepared with ...   12.14
5679   18166      1800  Cookies, chocolate sandwich, with creme fillin...   12.14
2055    8641       800  Cereals, QUAKER, Instant Oatmeal, fruit and cr...   12.13
4172   14067      1400                Beverages, Protein powder soy based   12.00
2053    8639       800  Cereals, QUAKER, Instant Oatmeal, Cinnamon Spi...   12.00
191     1224       100  Protein supplement, milk based, Muscle Milk Li...   12.00
4842   16106      1600                                      Meat extender   11.99
6452   19904      1900               Chocolate, dark, 70-85% cacao solids   11.90
4493   15012      1500              Fish, caviar, black and red, granular   11.88
306     2065       200                  Spearmint, fresh (Mentha spicata)   11.87
260     2011       200       Spices, cloves, ground (Syzygium aromaticum)   11.83
7713   25017      2500               Formulated bar, POWER BAR, chocolate   11.70
850     5028       500      Chicken, liver, all classes, cooked, simmered   11.63
1953    8409       800  Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes   11.60
8439   35229      3500  Sea lion, Steller, meat (Alaska Native) (Eumet...   11.48
1895    8225       800  Cereals, QUAKER, Instant Oatmeal, fruit and cr...   11.30
5855   18370      1800  Leavening agents, baking powder, double-acting...   11.27
516     3704       300  Babyfood, cereal, mixed, with honey, prepared ...   11.27
1630    7014       700             Braunschweiger (a liver sausage), pork   11.20
286     2037       200                   Spices, saffron (Crocus sativus)   11.10
513     3693       300  Babyfood, cereal, oatmeal, with honey, prepare...   11.09
5854   18369      1800  Leavening agents, baking powder, double-acting...   11.02
8389   35160      3500     Caribou, rump meat, half dried (Alaska Native)   11.00
8390   35161      3500      Caribou, shoulder meat, dried (Alaska Native)   11.00
3585   11978      1100                              Peppers, ancho, dried   10.93
7755   25068      2500                       Snack, BALANCE, original bar   10.90
4815   16078      1600  Mothbeans, mature seeds, raw (Vigna aconitifolia)   10.85
4706   15229      1500  Mollusks, cuttlefish, mixed species, cooked, m...   10.84
1652    7040       700                                 Liver cheese, pork   10.83
515     3696       300  Babyfood, cereal, rice, with honey, prepared w...   10.81
4857   16121      1600  Soy protein concentrate, produced by alcohol e...   10.78
5008   16420      1600     Soy protein concentrate, produced by acid wash   10.78
5245   17147      1700                  Game meat, bear, cooked, simmered   10.73
1896    8228       800  Cereals, QUAKER, Instant Oatmeal, raisins, dat...   10.70
6540   20077      2000                                  Wheat bran, crude   10.57
1988    8509       800  Cereals ready-to-eat, USDA Commodity Rice Cris...   10.53
1693    7207       700  OSCAR MAYER, Braunschweiger Liver Sausage (sli...   10.51
4787   16049      1600  Beans, white, mature seeds, raw (Phaseolus vul...   10.44
509     3685       300  Babyfood, cereal, mixed, prepared with whole milk   10.43
3285   11634      1100                Peppers, sweet, green, freeze-dried   10.40
3541   11931      1100                  Peppers, sweet, red, freeze-dried   10.40
2110    8704       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Maple Br...   10.39
2109    8703       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Cranberr...   10.39
2108    8702       800  Cereals, KELLOGG'S SPECIAL K NOURISH, Cinnamon...   10.39
2087    8680       800  Cereals, oats, instant, fortified, maple and b...   10.36
843     5021       500  Chicken, broilers or fryers, giblets, cooked, ...   10.32
