row      NDB_No  FdGrp_Cd                                          Long_Desc      FE
139     1157       100                        Cheese, goat, semisoft type    1.62
5647   18117      1800                Cake, pudding-type, marble, dry mix    1.62
4100   13957      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.62
5153   17055      1700  Lamb, domestic, shoulder, blade, separable lea...    1.62
7654   23611      1300  Beef, top sirloin, steak, separable lean only,...    1.61
4862   16126      1600  Tofu, firm, prepared with calcium sulfate and ...    1.61
7317   23237      1300  Beef, rib, back ribs, bone-in, separable lean ...    1.61
5393   17296      1700  Lamb, Australian, imported, fresh, leg, shank ...    1.61
3332   11715      1100  Lima beans, immature seeds, canned, no salt ad...    1.61
294     2046       200                          Mustard, prepared, yellow    1.61
7512   23434      1300  Beef, New Zealand, imported, striploin, separa...    1.61
5258   17160      1700   Game meat, buffalo, water, raw (Bubalus bubalis)    1.61
932     5110       500  Chicken, roasting, meat and skin and giblets a...    1.61
4062   13911      1300  Beef, loin, top loin, separable lean and fat, ...    1.61
1036    5304       500  Turkey, mechanically deboned, from turkey fram...    1.61
5121   17023      1700  Lamb, domestic, loin, separable lean and fat, ...    1.61
5635   18101      1800  Cake, chocolate, prepared from recipe without ...    1.61
5117   17019      1700  Lamb, domestic, leg, sirloin half, separable l...    1.61
8088   28286      1800  Bread, paratha, whole wheat, commercially prep...    1.61
3966   13813      1300  Beef, chuck, arm pot roast, separable lean and...    1.61
7627   23584      1300  Beef, top sirloin, steak, separable lean only,...    1.61
2427    9427       900                   Abiyuch, raw (Crateva religiosa)    1.61
6321   19340      1900                                      Sugars, maple    1.61
2840   11033      1100  Lima beans, immature seeds, canned, regular pa...    1.61
3638   12071      1200                                 Nuts, almond paste    1.60
6374   19433      2500         Tortilla chips, low fat, baked without fat    1.60
4950   16273      1600   Vitasoy USA Organic Nasoya, Tofu Plus Extra Firm    1.60
4747   16007      1600                    Beans, baked, canned, with beef    1.60
5129   17031      1700  Lamb, domestic, rib, separable lean and fat, t...    1.60
5483   17386      1700  Lamb, New Zealand, imported, loin saddle, sepa...    1.60
5027   16510      1600              WORTHINGTON Chili, canned, unprepared    1.60
4697   15220      1500      Fish, tuna, skipjack, fresh, cooked, dry heat    1.60
1773    7979       700    Sausage, pork, turkey, and beef, reduced sodium    1.60
6049   19001      1900  Candies, TOBLERONE, milk chocolate with honey ...    1.60
7807   27068       600                Dip, FRITO'S, bean, original flavor    1.60
7644   23601      1300  Beef, tenderloin, steak, separable lean only, ...    1.60
4906   16212      1600        Vitasoy USA, Organic Nasoya Extra Firm Tofu    1.60
5356   17258      1700  Lamb, New Zealand, imported, frozen, leg, whol...    1.60
4904   16210      1600                 Vitasoy USA, Nasoya Lite Firm Tofu    1.60
2307    9231       900  Passion-fruit, (granadilla), purple, raw (Pass...    1.60
2923   11156      1100                 Chives, raw (Allium schoenoprasum)    1.60
6416   19833      2500          Snacks, tortilla chips, low fat, unsalted    1.60
6993   21516      2100  KASHI Pizza, Mushroom and Spinach, single serv...    1.60
2570   10096      1000  Pork, fresh, variety meats and by-products, br...    1.60
3074   11344      1100    Pigeonpeas, immature seeds, raw (Cajanus cajan)    1.60
7642   23599      1300  Beef, rib, small end (ribs 10-12), separable l...    1.60
6083   19043      2500  Snacks, potato chips, sour-cream-and-onion-flavor    1.60
3669   12128      1200                           Nuts, ginkgo nuts, dried    1.60
7626   23583      1300  Beef, tenderloin, steak, separable lean only, ...    1.60
6520   20054      2000       Rice, white, glutinous, unenriched, uncooked    1.60
2199    9088       900                  Elderberries, raw (Sambucus spp.)    1.60
7804   27065       600                         Dip, bean, original flavor    1.60
6362   19412      2500  Snacks, potato chips, made from dried potatoes...    1.60
5025   16508      1600         LOMA LINDA Tender Bits, canned, unprepared    1.60
5843   18356      1800  Sweet rolls, cinnamon, commercially prepared w...    1.60
6967   21487      2100  Fast foods, taco with chicken, lettuce and che...    1.59
5379   17282      1700  Lamb, Australian, imported, fresh, composite o...    1.59
5358   17260      1700  Lamb, New Zealand, imported, frozen, loin, sep...    1.59
1177    5722       500  Turkey, retail parts, thigh, meat only, cooked...    1.59
7625   23582      1300  Beef, rib, small end (ribs 10-12), separable l...    1.59
1569    6738       600  Soup, split pea with ham and bacon, canned, co...    1.59
3922   13488      1300  Beef, round, tip round, roast, separable lean ...    1.59
3958   13805      1300  Beef, brisket, flat half, separable lean and f...    1.59
6787   21262      2100  TACO BELL, Soft Taco with chicken, cheese and ...    1.59
4490   15009      1500                       Fish, carp, cooked, dry heat    1.59
1634    7019       700                             Chorizo, pork and beef    1.59
2758   10931      1000  Pork, cured, ham, rump, bone-in, separable lea...    1.59
5535   17438      1700  Veal, shoulder, blade chop, separable lean and...    1.59
4827   16090      1600         Peanuts, all types, dry-roasted, with salt    1.58
6411   19819      2500  Snacks, rice cakes, brown rice, sesame seed, u...    1.58
5656   18134      1800                 Cake, sponge, prepared from recipe    1.58
1191    5737       500  Turkey, retail parts, drumstick, meat and skin...    1.58
6646   20652      2000  Pasta, whole grain, 51% whole wheat, remaining...    1.58
3469   11855      1100  Spinach, canned, no salt added, solids and liq...    1.58
6969   21490      2100  Fast Foods, grilled chicken filet sandwich, wi...    1.58
8450   35240      3500                  Bread, blue corn, somiviki (Hopi)    1.58
5424   17327      1700  Lamb, Australian, imported, fresh, shoulder, b...    1.58
5098   17000      1700  Veal, Australian, rib, rib roast, separable le...    1.58
5344   17246      1700  Lamb, domestic, shoulder, arm, separable lean ...    1.58
6425   19871      1900   Frozen novelties, No Sugar Added, FUDGSICLE pops    1.58
1024    5277       500             Chicken, canned, meat only, with broth    1.58
4066   13915      1300  Beef, short loin, top loin, steak, separable l...    1.58
5538   17441      1700  Lamb, Australian, imported, fresh, leg, hindsh...    1.58
4997   16390      1600      Peanuts, all types, dry-roasted, without salt    1.58
3168   11459      1100  Spinach, canned, regular pack, solids and liquids    1.58
6092   19053      2500        Snacks, rice cakes, brown rice, sesame seed    1.58
6531   20068      2000                                Tapioca, pearl, dry    1.58
1178    5723       500  Turkey, retail parts, drumstick, meat only, co...    1.57
5179   17081      1700  Lamb, New Zealand, imported, rack - partly fre...    1.57
1033    5301       500  Poultry, mechanically deboned, from backs and ...    1.57
7489   23411      1300  Beef, New Zealand, imported, flank, separable ...    1.57
1751    7956       700                        Beef sausage, fresh, cooked    1.57
8093   28291      1800            Cookies, animal, with frosting or icing    1.57
5275   17177      1700  Game meat, rabbit, domesticated, composite of ...    1.57
8516   36405      3600  Restaurant, Latino, Arroz con frijoles negros ...    1.57
5099   17001      1700  Lamb, domestic, composite of trimmed retail cu...    1.57
6716   21126      2100  Fast foods, submarine sandwich, tuna on white ...    1.57
7383   23303      1300  Beef, Australian, imported, grass-fed, loin, t...    1.57
4764   16026      1600        Beans, great northern, mature seeds, canned    1.57
5661   18142      1800                Cake, pudding-type, yellow, dry mix    1.57
3442   11826      1100  Pigeonpeas, immature seeds, cooked, boiled, dr...    1.57
6657   21007      2100   Fast foods, biscuit, with egg, cheese, and bacon    1.57
4965   16326      1600  Beans, great northern, mature seeds, canned, l...    1.57
6751   21214      2100  SUBWAY, tuna sub on white bread with lettuce a...    1.57
7693   23656      1300  Beef, flank, steak, separable lean only, trimm...    1.57
4528   15047      1500         Fish, mackerel, Atlantic, cooked, dry heat    1.57
3075   11345      1100  Pigeonpeas, immature seeds, cooked, boiled, dr...    1.57
5141   17043      1700  Lamb, domestic, shoulder, arm, separable lean ...    1.56
2565   10087      1000  Pork, fresh, shoulder, blade, boston (roasts),...    1.56
3220   11526      1100               Taro, tahitian, cooked, without salt    1.56
7730   25036      2500               Snacks, granola bites, mixed flavors    1.56
4872   16137      1600                              Hummus, home prepared    1.56
1677    7069       700                      Salami, cooked, beef and pork    1.56
2564   10086      1000  Pork, fresh, shoulder, blade, boston (steaks),...    1.56
326     3014       300             Babyfood, meat, chicken sticks, junior    1.56
6700   21106      2100  Fast foods, fish sandwich, with tartar sauce a...    1.56
6115   19083      1900            Candies, sweet chocolate coated fondant    1.56
6791   21266      2100            TACO BELL, BURRITO SUPREME with chicken    1.56
1121    5666       500  Ground turkey, 93% lean, 7% fat, pan-broiled c...    1.56
2697   10867      1000  Pork, cured, ham -- water added, shank, bone-i...    1.56
5789   18290      1800       Pancakes, plain, dry mix, complete, prepared    1.56
3495   11881      1100                  Taro, tahitian, cooked, with salt    1.56
6759   21232      2100                           McDONALD'S, FILET-O-FISH    1.56
5322   17224      1700                                  Lamb, ground, raw    1.55
6771   21245      2100           WENDY'S, Ultimate Chicken Grill Sandwich    1.55
4759   16021      1600     Beans, cranberry (roman), mature seeds, canned    1.55
3580   11973      1100              Beans, fava, in pod, raw (Vicia faba)    1.55
5411   17314      1700  Lamb, Australian, imported, fresh, rib chop/ra...    1.55
5507   17410      1700  Lamb, New Zealand, imported, loin, boneless, s...    1.55
7687   23650      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.55
5486   17389      1700  Lamb, New Zealand, imported, loin, boneless, s...    1.55
7734   25040      2500  Snacks, vegetable chips, made from garden vege...    1.55
3031   11284      1100                          Onions, dehydrated flakes    1.55
1711    7913       700                    Salami, pork, beef, less sodium    1.55
3750   13065      1300  Beef, flank, steak, separable lean and fat, tr...    1.55
7717   25022      2500  Snacks, FRITOLAY, SUNCHIPS, multigrain, French...    1.55
7067   22953      2200              Egg rolls, pork, refrigerated, heated    1.55
4109   13970      1300  Beef, flank, steak, separable lean and fat, tr...    1.55
3760   13147      1300  Beef, rib, shortribs, separable lean and fat, ...    1.55
2194    9083       900       Currants, european black, raw (Ribes nigrum)    1.54
4110   13971      1300  Beef, flank, steak, separable lean and fat, tr...    1.54
6052   19004      2500  Snacks, corn-based, extruded, chips, barbecue-...    1.54
5421   17324      1700  Lamb, Australian, imported, fresh, shoulder, a...    1.54
8541   36612      3600                       DENNY'S, golden fried shrimp    1.54
4695   15218      1500      Fish, sunfish, pumpkin seed, cooked, dry heat    1.54
5484   17387      1700  Lamb, New Zealand, imported, loin saddle, sepa...    1.54
3065   11326      1100                Peas and onions, frozen, unprepared    1.54
7694   23657      1300  Beef, flank, steak, separable lean only, trimm...    1.54
7685   23648      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.54
5352   17254      1700  Lamb, New Zealand, imported, frozen, composite...    1.54
7400   23320      1300  Beef, Australian, imported, Wagyu, loin, top l...    1.54
2760   10933      1000  Pork, cured, ham, shank, bone-in, separable le...    1.54
7683   23646      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.54
3427   11811      1100    Peas, green, cooked, boiled, drained, with salt    1.54
3052   11305      1100  Peas, green, cooked, boiled, drained, without ...    1.54
7537   23459      1300  Beef, New Zealand, imported, flank, separable ...    1.53
1207    6004       600            Soup, bean with pork, canned, condensed    1.53
4956   16279      1600                      HOUSE FOODS Premium Soft Tofu    1.53
8534   36605      3600       CRACKER BARREL, country fried shrimp platter    1.53
1749    7954       700                           Beef sausage, pre-cooked    1.53
5340   17242      1700  Lamb, domestic, shoulder, whole (arm and blade...    1.53
6823   21298      2100  PIZZA HUT 14" Super Supreme Pizza, Hand-Tossed...    1.53
6000   18952      1800                               Tostada shells, corn    1.53
827     5005       500  Chicken, broilers or fryers, meat and skin and...    1.53
3057   11312      1100                    Peas, green, frozen, unprepared    1.53
4661   15184      1500  Fish, tuna, light, canned in water, without sa...    1.53
5658   18139      1800  Cake, white, prepared from recipe without fros...    1.52
3954   13799      1300  Beef, composite of trimmed retail cuts, separa...    1.52
8503   36052      3600             Restaurant, Mexican, cheese quesadilla    1.52
1724    7926       700                              Salami, Italian, pork    1.52
8319   35048      3500                        Stew, moose (Alaska Native)    1.52
3430   11814      1100  Peas, green, frozen, cooked, boiled, drained, ...    1.52
3058   11313      1100  Peas, green, frozen, cooked, boiled, drained, ...    1.52
6733   21151      2100  Fast foods, submarine sandwich, sweet onion ch...    1.52
5460   17363      1700  Lamb, New Zealand, imported, chump, boneless, ...    1.52
4826   16089      1600         Peanuts, all types, oil-roasted, with salt    1.52
1038    5306       500                              Ground turkey, cooked    1.52
6732   21150      2100  SUBWAY, sweet onion chicken teriyaki sub on wh...    1.52
2152    9034       900  Apricots, dried, sulfured, stewed, with added ...    1.52
4996   16389      1600      Peanuts, all types, oil-roasted, without salt    1.52
6093   19056      2500  Snacks, tortilla chips, plain, white corn, salted    1.52
5176   17078      1700  Lamb, New Zealand, imported, loin chop, separa...    1.52
3197   11496      1100  Succotash, (corn and limas), cooked, boiled, d...    1.52
8502   36051      3600                   ON THE BORDER, cheese quesadilla    1.52
839     5017       500  Chicken, broilers or fryers, skin only, cooked...    1.52
5705   18196      1800             Cookies, brownies, dry mix, sugar free    1.52
3485   11871      1100  Succotash, (corn and limas), cooked, boiled, d...    1.52
1030    5294       500  Turkey thigh, pre-basted, meat and skin, cooke...    1.51
6005   18957      1800  Cake, pound, BIMBO Bakeries USA, Panque Casero...    1.51
2678   10803      1000  USDA Commodity, pork, ground, fine/coarse, fro...    1.51
840     5018       500  Chicken, broilers or fryers, skin only, cooked...    1.51
1739    7941       700  Salami, Italian, pork and beef, dry, sliced, 5...    1.51
4085   13934      1300  Beef, top sirloin, steak, separable lean and f...    1.51
2841   11037      1100  Lima beans, immature seeds, frozen, fordhook, ...    1.51
3245   11574      1100                  Turnip greens, frozen, unprepared    1.51
3657   12109      1200  Nuts, coconut meat, dried (desiccated), sweete...    1.51
4523   15042      1500                  Fish, herring, Atlantic, kippered    1.51
943     5121       500  Chicken, stewing, meat and skin, and giblets a...    1.51
3244   11570      1100          Turnip greens, canned, solids and liquids    1.51
6830   21305      2100  Fast foods, griddle cake sandwich, egg, cheese...    1.51
6845   21329      2100       McDONALD'S, Sausage, Egg & Cheese McGRIDDLES    1.51
4101   13958      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.51
8723   43387      1100               Turnip greens, canned, no salt added    1.51
6770   21244      2100         WENDY'S, Homestyle Chicken Fillet Sandwich    1.50
5019   16500      1600        LOMA LINDA Little Links, canned, unprepared    1.50
5021   16504      1600  LOMA LINDA Tender Rounds with Gravy, canned, u...    1.50
6783   21258      2100                 BURGER KING, Premium Fish Sandwich    1.50
8007   28204      1800                    MOTHER'S, Jungle Animal Cookies    1.50
5133   17035      1700  Lamb, domestic, shoulder, whole (arm and blade...    1.50
8013   28210      1800            MURRAY, SUGAR FREE, Vanilla Sugar Wafer    1.50
3261   11595      1100  Winged beans, immature seeds, raw (Psophocarpu...    1.50
5521   17424      1700                    Veal, ground, cooked, pan-fried    1.50
7899   28094      1800  KEEBLER, FUDGE SHOPPE, Jumbo Fudge Sticks, Van...    1.50
3649   12096      1200                  Nuts, chestnuts, chinese, roasted    1.50
1648    7034       700                                   Headcheese, pork    1.50
5028   16511      1600           WORTHINGTON Choplets, canned, unprepared    1.50
6810   21285      2100    PAPA JOHN'S 14" The Works Pizza, Original Crust    1.50
8004   28201      1800            MOTHER'S, Holiday Circus Animal Cookies    1.50
8003   28200      1800         MOTHER'S, Halloween Circus Animals Cookies    1.50
7696   23659      1300  Beef, brisket, flat half, separable lean and f...    1.50
6699   21105      2100       Fast foods, fish sandwich, with tartar sauce    1.50
7999   28196      1800                    MOTHER'S, Circus Animal Cookies    1.50
6251   19236      1900  Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND ...    1.50
5348   17250      1700  Lamb, domestic, shoulder, blade, separable lea...    1.50
7997   28194      1800        MOTHER'S, 4th of July Circus Animal Cookies    1.50
1205    6002       600                Soup, black bean, canned, condensed    1.50
2551   10073      1000  Pork, fresh, shoulder, whole, separable lean o...    1.50
5049   16534      1600          WORTHINGTON Stakelets, frozen, unprepared    1.50
8394   35166      3500  Fish, salmon, red, (sockeye), canned, smoked (...    1.50
5057   16551      1600  MORNINGSTAR FARMS Asian Veggie Patties, frozen...    1.50
3021   11274      1100  Mustard spinach, (tendergreen), raw (Brassica ...    1.50
6871   21363      2100  McDONALD'S, Deluxe Breakfast, with syrup and m...    1.50
8619   42279       300                      Babyfood, peas and brown rice    1.50
8667   43135      1600                          Sandwich spread, meatless    1.50
5395   17298      1700  Lamb, Australian, imported, fresh, leg, sirloi...    1.50
1873    8172       800                   Cereals, farina, unenriched, dry    1.50
4969   16335      1600  Beans, kidney, red, mature seeds, canned, drai...    1.50
5385   17288      1700  Lamb, Australian, imported, fresh, foreshank, ...    1.50
2718   10888      1000  Pork, cured, ham and water product, slice, bon...    1.50
4595   15114      1500       Fish, trout, mixed species, raw (Salmonidae)    1.50
6992   21515      2100  MORNINGSTAR FARMS Pizza, Baja Black Bean, sing...    1.50
7887   28081      1800      KEEBLER, FUDGE SHOPPE, Caramel Filled Cookies    1.50
4876   16145      1600  Beans, kidney, red, mature seeds, canned, drai...    1.50
4980   16353      1600  Broadbeans (fava beans), mature seeds, cooked,...    1.50
4791   16053      1600  Broadbeans (fava beans), mature seeds, cooked,...    1.50
1197    5743       500  Turkey, retail parts, thigh, meat and skin, co...    1.50
7030   22901      2200  Tortellini, pasta with cheese filling, fresh-r...    1.50
1818    8071       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY...    1.50
858     5036       500  Chicken, broilers or fryers, dark meat, meat a...    1.50
8783   80200      1500                                     Frog legs, raw    1.50
7742   25052      2500  Snacks, granola bar, QUAKER, chewy, 90 Calorie...    1.50
2869   11089      1100  Broadbeans, immature seeds, cooked, boiled, dr...    1.50
2575   10101      1000  Pork, fresh, variety meats and by-products, ea...    1.50
3355   11738      1100  Broadbeans, immature seeds, cooked, boiled, dr...    1.50
5160   17062      1700  Lamb, New Zealand, imported, frozen, composite...    1.49
6586   20137      2000         Quinoa, cooked (Chenopodium quinoa Willd.)    1.49
5170   17072      1700  Lamb, New Zealand, imported, leg chop/steak, b...    1.49
4678   15201      1500  Fish, mackerel, Pacific and jack, mixed specie...    1.49
4484   15003      1500  Fish, bass, fresh water, mixed species, raw (P...    1.49
5806   18310      1800        Pie, chocolate creme, commercially prepared    1.49
3798   13338      1300  Beef, variety meats and by-products, thymus, c...    1.49
958     5136       500    Chicken, capons, meat and skin, cooked, roasted    1.49
6090   19051      2500             Snacks, rice cracker brown rice, plain    1.49
5354   17256      1700  Lamb, New Zealand, imported, frozen, foreshank...    1.49
5815   18322      1800                   Pie, mince, prepared from recipe    1.49
3128   11407      1100  Potatoes, french fried, cottage-cut, salt not ...    1.49
6408   19816      2500    Snacks, rice cakes, brown rice, plain, unsalted    1.49
2690   10860      1000                  Pork, cured, bacon, cooked, baked    1.49
871     5049       500  Chicken, broilers or fryers, back, meat and sk...    1.49
915     5093       500  Chicken, broilers or fryers, thigh, meat and s...    1.49
6985   21508      2100                   WEND'YS, Crispy Chicken Sandwich    1.49
7732   25038      2500  Snacks, granola bars, soft, almond, confection...    1.49
6517   20051      2000        Rice, white, medium-grain, enriched, cooked    1.49
1753    7958       700                      Turkey sausage, fresh, cooked    1.49
7747   25059      2500                           Snacks, brown rice chips    1.49
866     5044       500  Chicken, broilers or fryers, dark meat, meat o...    1.49
8600   42204      2500  Rice cake, cracker (include hain mini rice cakes)    1.49
3454   11840      1100  Potatoes, frozen, french fried, par fried, cot...    1.49
4097   13954      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.49
8704   43327      1000  Pork, cured, ham, boneless, low sodium, extra ...    1.48
5818   18325      1800                   Pie, pecan, prepared from recipe    1.48
5387   17290      1700  Lamb, Australian, imported, fresh, leg, whole ...    1.48
2600   10134      1000  Pork, cured, ham, boneless, extra lean (approx...    1.48
5649   18120      1800  Cake, pound, commercially prepared, butter (in...    1.48
5648   18119      1800  Cake, pineapple upside-down, prepared from recipe    1.48
5391   17294      1700  Lamb, Australian, imported, fresh, leg, shank ...    1.48
4080   13929      1300  Beef, top sirloin, steak, separable lean and f...    1.48
3038   11291      1100  Onions, spring or scallions (includes tops and...    1.48
6901   21406      2100  McDONALD'S, Premium Grilled Chicken Ranch BLT ...    1.48
5149   17051      1700  Lamb, domestic, shoulder, blade, separable lea...    1.48
2379    9311       900                 Roselle, raw (Hibiscus sabdariffa)    1.48
1243    6049       600                Soup, pea, green, canned, condensed    1.48
3593   11986      1100                            Malabar spinach, cooked    1.48
6897   21402      2100  McDONALD'S, Premium Grilled Chicken Classic Sa...    1.48
118     1130       100                         Egg, whole, cooked, omelet    1.48
1684    7077       700  Smoked link sausage, pork and beef, nonfat dry...    1.47
2573   10099      1000  Pork, fresh, variety meats and by-products, ch...    1.47
7444   23364      1300  Beef, round, eye of round steak, boneless, sep...    1.47
1639    7025       700                                Frankfurter, turkey    1.47
7441   23361      1300  Beef, round, eye of round roast, boneless, sep...    1.47
5496   17399      1700  Lamb, New Zealand, imported, square-cut should...    1.47
7411   23331      1300  Beef, round, eye of round roast, boneless, sep...    1.47
5553   17456      1700  Lamb, Australian, imported, fresh, leg, hindsh...    1.47
4099   13956      1300  Beef, bottom sirloin, tri-tip roast, separable...    1.47
2982   11233      1100     Kale, raw (Brassica oleracea (Acephala Group))    1.47
6593   20310      2000    Noodles, egg, cooked, enriched, with added salt    1.47
4977   16347      1600  Beans, pinto, mature seeds, canned, solids and...    1.47
4064   13913      1300  Beef, loin, top loin, separable lean and fat, ...    1.47
8442   35232      3500  Wocas, dried seeds, Oregon, yellow pond lily (...    1.47
3051   11304      1100                   Peas, green, raw (Pisum sativum)    1.47
7414   23334      1300  Beef, round, eye of round steak, boneless sepa...    1.47
6489   20019      2000                Corn flour, masa, unenriched, white    1.47
4060   13909      1300  Beef, short loin, top loin, steak, separable l...    1.47
6563   20110      2000                     Noodles, egg, enriched, cooked    1.47
4782   16044      1600  Beans, pinto, mature seeds, canned, solids and...    1.47
3154   11439      1100             Sauerkraut, canned, solids and liquids    1.47
6994   21517      2100  Fast foods, crispy chicken in tortilla, with l...    1.47
5783   18281      1800                        Muffins, corn, toaster-type    1.47
5230   17132      1700  Veal, shoulder, blade, separable lean only, co...    1.47
7000   21523      2100               McDONALD'S, RANCH SNACK WRAP, Crispy    1.47
8470   36019      3600                                  APPLEBEE'S, chili    1.46
6519   20053      2000         Rice, white, short-grain, enriched, cooked    1.46
8715   43366       500  Turkey, wing, smoked, cooked, with skin, bone ...    1.46
5488   17391      1700  Lamb, New Zealand, imported, hind-shank, separ...    1.46
1556    6632       600     Sauce, hot chile, sriracha, CHA! BY TEXAS PETE    1.46
8488   36037      3600  Restaurant, family style, chili with meat and ...    1.46
919     5097       500  Chicken, broilers or fryers, thigh, meat only,...    1.46
1015    5196       500  Turkey, all classes, wing, meat and skin, cook...    1.46
4727   15252      1500  USDA Commodity, salmon nuggets, cooked as purc...    1.46
8519   36408      3600  Restaurant, Latino, pupusas con frijoles (pupu...    1.46
4082   13931      1300  Beef, top sirloin, steak, separable lean and f...    1.46
3568   11959      1100                        Arugula, raw (Eruca sativa)    1.46
7385   23305      1300  Beef, Australian, imported, grass-fed, loin, t...    1.46
1760    7965       700  Pork sausage, link/patty, reduced fat, unprepared    1.46
5253   17155      1700  Veal, Australian, rib, rib roast, separable le...    1.46
2757   10929      1000  Pork, cured, ham, rump, bone-in, separable lea...    1.46
7413   23333      1300  Beef, round, eye of round steak, boneless, sep...    1.45
4671   15194      1500                   Fish, mahimahi, cooked, dry heat    1.45
914     5092       500  Chicken, broilers or fryers, thigh, meat and s...    1.45
1004    5184       500  Turkey, dark meat from whole, meat and skin, c...    1.45
4859   16123      1600          Soy sauce made from soy and wheat (shoyu)    1.45
7410   23330      1300  Beef, round, eye of round roast, boneless, sep...    1.45
2561   10083      1000  Pork, fresh, shoulder, blade, boston (roasts),...    1.45
6850   21337      2100                  McDONALD'S, Peanuts (for Sundaes)    1.45
6069   19026      2500  Snacks, granola bars, soft, coated, milk choco...    1.45
6995   21518      2100  Fast foods, grilled chicken in tortilla, with ...    1.45
8575   42139      2500  Granola bar, soft, milk chocolate coated, pean...    1.45
8151   28349      1800                      Cookies, oatmeal, reduced fat    1.45
7001   21524      2100              McDONALD'S, RANCH SNACK WRAP, Grilled    1.45
8652   43059      1900  Candies, chocolate covered, low sugar or low c...    1.45
3710   12202      1200  Nuts, chestnuts, japanese, raw (Castanea crenata)    1.45
7443   23363      1300  Beef, round, eye of round steak, boneless, sep...    1.45
5212   17114      1700    Veal, rib, separable lean only, cooked, braised    1.45
7440   23360      1300  Beef, round, eye of round roast, boneless, sep...    1.45
5218   17120      1700  Veal, shoulder, whole (arm and blade), separab...    1.45
8719   43378      1000  Pork, cured, bacon, cooked, broiled, pan-fried...    1.44
5683   18171      1800                                   Cookies, fortune    1.44
5005   16403      1600  Refried beans, canned, traditional, reduced so...    1.44
857     5035       500  Chicken, broilers or fryers, dark meat, meat a...    1.44
7743   25053      2500  Snacks, granola bar, GENERAL MILLS NATURE VALL...    1.44
5227   17129      1700  Veal, shoulder, blade, separable lean and fat,...    1.44
1667    7059       700                               Polish sausage, pork    1.44
5504   17407      1700  Lamb, New Zealand, imported, loin saddle, sepa...    1.44
5239   17141      1700  Veal, cubed for stew (leg and shoulder), separ...    1.44
4840   16103      1600  Refried beans, canned, traditional style (incl...    1.44
4674   15197      1500           Fish, herring, Pacific, cooked, dry heat    1.44
4492   15011      1500  Fish, catfish, channel, cooked, breaded and fried    1.43
8695   43283       500                     Pheasant, cooked, total edible    1.43
2767   10940      1000  Pork, fresh, spareribs, separable lean and fat...    1.43
1018    5216       500  Turkey, back, from whole bird, meat only, roasted    1.43
5360   17262      1700  Lamb, new zealand, imported, frozen, rib, sepa...    1.43
2670   10223      1000  Pork, fresh, loin, tenderloin, separable lean ...    1.43
899     5077       500  Chicken, broilers or fryers, leg, meat and ski...    1.43
7051   22937      2200             SPAGHETTIOS, SpaghettiOs in Meat Sauce    1.43
5377   17280      1700  Lamb, Australian, imported, fresh, composite o...    1.43
7054   22940      2200            SPAGHETTIOS, SpaghettiOs with Meatballs    1.43
1195    5741       500  Turkey, thigh, from whole bird, meat only, roa...    1.43
7751   25064      2500               Snacks, potato chips, lightly salted    1.43
1293    6151       600                        Sauce, plum, ready-to-serve    1.43
1008    5188       500     Turkey, from whole, dark meat, cooked, roasted    1.43
3596   11989      1100           Mushrooms, straw, canned, drained solids    1.43
7086   22975      2200  Chicken, nuggets, white meat, precooked, froze...    1.43
4071   13920      1300  Beef, tenderloin, steak, separable lean and fa...    1.43
838     5016       500  Chicken, broilers or fryers, skin only, cooked...    1.43
5337   17239      1700  Lamb, domestic, rib, separable lean and fat, t...    1.43
948     5126       500        Chicken, stewing, meat only, cooked, stewed    1.43
5642   18108      1800  Coffeecake, cinnamon with crumb topping, dry m...    1.43
8748   43507       700                            Frankfurter, low sodium    1.43
5180   17082      1700  Lamb, New Zealand, imported, rack - partly fre...    1.43
1689    7089       700                     Sausage, Italian, pork, cooked    1.43
1690    7090       700                    Luncheon sausage, pork and beef    1.43
6914   21422      2100                               KFC, Popcorn Chicken    1.42
5215   17117      1700  Veal, shoulder, whole (arm and blade), separab...    1.42
873     5051       500  Chicken, broilers or fryers, back, meat and sk...    1.42
6831   21306      2100         Fast foods, griddle cake sandwich, sausage    1.42
6242   19226      1900         Frostings, chocolate, creamy, ready-to-eat    1.42
6844   21328      2100                     McDONALD'S, Sausage McGRIDDLES    1.42
2762   10935      1000  Pork, cured, ham, shank, bone-in, separable le...    1.42
5417   17320      1700  Lamb, Australian, imported, fresh, shoulder, w...    1.42
921     5099       500  Chicken, broilers or fryers, thigh, meat only,...    1.42
2727   10899      1000  Pork, cured, ham, slice, bone-in, separable le...    1.42
4068   13917      1300  Beef, tenderloin, steak, separable lean and fa...    1.42
4351   14316      1400  Beverages, Malted drink mix, chocolate, with a...    1.42
6898   21403      2100  McDONALD'S, Premium Crispy Chicken Classic San...    1.42
4803   16065      1600  Cowpeas, common (blackeyes, crowder, southern)...    1.42
4074   13923      1300  Beef, tenderloin, steak, separable lean and fa...    1.42
