Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
1931    8348       800     Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice   27.27
2037    8603       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   27.00
2032    8595       800  Cereals ready-to-eat, GENERAL MILLS, Cinnamon ...   27.00
2081    8674       800  Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDER...   27.00
1998    8543       800  Cereals ready-to-eat, KELLOGG'S, SPECIAL K Van...   27.00
2036    8602       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   27.00
1817    8069       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...   26.70
1786    8019       800     Cereals ready-to-eat, GENERAL MILLS, Corn CHEX   26.10
1944    8383       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   26.10
2071    8662       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   26.10
2022    8584       800  Cereals ready-to-eat, KELLOGG'S SPECIAL K Choc...   26.10
2117    8711       800  Cereals ready-to-eat, KELLOGG'S, SPECIAL K pro...   26.10
2113    8707       800  Cereals ready-to-eat, KELLOGG'S SPECIAL K Choc...   25.70
2031    8594       800  Cereals ready-to-eat, GENERAL MILLS, Chocolate...   25.70
1969    8471       800  Cereals ready-to-eat, KELLOGG'S, SPECIAL K Pro...   25.30
1993    8531       800  Cereals ready-to-eat, KELLOGG, SPECIAL K, Frui...   25.30
2074    8666       800  Cereals ready-to-eat, GENERAL MILLS, Cinnamon ...   25.29
4160   14055      1400  Beverages, UNILEVER, SLIMFAST Shake Mix, high ...   24.84
1848    8122       800      Cereals, oats, instant, fortified, plain, dry   24.72
2008    8567       800  Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets   24.00
2079    8672       800  Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE M...   24.00
1917    8274       800  Cereals ready-to-eat, GENERAL MILLS, BERRY BER...   23.70
1887    8210       800  Cereals ready-to-eat, QUAKER, QUAKER OAT CINNA...   23.22
4481   14654      1400  Beverages, nutritional shake mix, high protein...   22.50
1805    8050       800  Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS   22.27
278     2029       200      Spices, parsley, dried (Petroselinum crispum)   22.04
2019    8580       800  Incaparina, dry mix (corn and soy flours), unp...   22.00
2046    8629       800  Cereals ready-to-eat, QUAKER, Cap'n Crunch's O...   21.57
3303   11663      1100                               Seaweed, agar, dried   21.40
277     2028       200                  Spices, paprika (Capsicum annuum)   21.14
1800    8045       800  Cereals ready-to-eat, GENERAL MILLS, HONEY NUT...   20.58
1915    8272       800  Cereals ready-to-eat, GENERAL MILLS, CINNAMON ...   20.48
3273   11615      1100                               Chives, freeze-dried   20.00
5024   16507      1600         LOMA LINDA Redi-Burger, canned, unprepared   20.00
1779    8011       800  Cereals ready-to-eat, QUAKER, CAP'N CRUNCH wit...   19.80
270     2021       200       Spices, ginger, ground (Zingiber officinale)   19.80
2002    8550       800     Cereals ready-to-eat, QUAKER, Christmas Crunch   19.78
284     2035       200                          Spices, pumpkin pie spice   19.71
2043    8625       800  Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S H...   19.60
1888    8211       800    Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S   19.52
1778    8010       800         Cereals ready-to-eat, QUAKER, CAP'N CRUNCH   19.42
1985    8506       800          Cereals ready-to-eat, RALSTON Corn Flakes   19.40
2023    8586       800  Cereals ready-to-eat, GENERAL MILLS, 25% Less ...   19.29
3697   12169      1200                        Seeds, sesame butter, paste   19.20
264     2015       200                               Spices, curry powder   19.10
6523   20060      2000                                   Rice bran, crude   18.54
267     2018       200           Spices, fennel seed (Foeniculum vulgare)   18.54
2116    8710       800  Cereals ready-to-eat, KELLOGG'S, SPECIAL K glu...   18.39
1780    8012       800  Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S P...   18.36
1809    8059       800   Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP   18.35
1811    8061       800      Cereals ready-to-eat, POST Raisin Bran Cereal   18.30
7705   25008      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   18.15
1794    8032       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...   18.00
7703   25006      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   17.95
1774    8001       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...   17.60
4882   16156      1600  Peanut butter, chunky, vitamin and mineral for...   17.50
297     2049       200                     Thyme, fresh (Thymus vulgaris)   17.45
6111   19078      1900             Baking chocolate, unsweetened, squares   17.40
258     2009       200                               Spices, chili powder   17.30
1784    8017       800  Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP   17.30
8612   42261       800  Cereals ready-to-eat, POST, GREAT GRAINS Crunc...   17.30
1822    8078       800          Cereals ready-to-eat, GENERAL MILLS, TRIX   16.89
1911    8267       800  Cereals ready-to-eat, GENERAL MILLS, FROSTED C...   16.70
2021    8583       800  Cereals ready-to-eat, GENERAL MILLS, Fruity CH...   16.70
2030    8593       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   16.70
1899    8239       800  Cereals ready-to-eat, GENERAL MILLS, Berry Bur...   16.70
1913    8270       800  Cereals ready-to-eat, GENERAL MILLS, COUNT CHO...   16.70
1914    8271       800   Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS   16.70
2052    8637       800  Cereals ready-to-eat, GENERAL MILLS, Oat Clust...   16.70
4881   16155      1600  Peanut butter, smooth, vitamin and mineral for...   16.60
8613   42265       800  Cereals ready-to-eat, POST, GREAT GRAINS, Rais...   16.40
4350   14315      1400         Beverages, OVALTINE, chocolate malt powder   16.36
4346   14309      1400           Beverages, OVALTINE, Classic Malt powder   16.36
4179   14080      1400                  Beverages, rich chocolate, powder   16.36
265     2016       200             Spices, dill seed (Anethum graveolens)   16.33
262     2013       200        Spices, coriander seed (Coriandrum sativum)   16.32
7712   25016      2500  Formulated bar, MARS SNACKFOOD US, SNICKERS MA...   16.31
254     2005       200                 Spices, caraway seed (Carum carvi)   16.23
2070    8661       800     Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS   16.10
2069    8660       800  Cereals ready-to-eat, KELLOGG'S APPLE JACKS wi...   16.10
1992    8513       800  Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE...   16.10
2029    8592       800  Cereals ready-to-eat, GENERAL MILLS, CHEERIOS,...   16.10
1776    8003       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE...   16.10
1885    8204       800  Cereals ready-to-eat, chocolate-flavored frost...   15.87
4844   16108      1600                        Soybeans, mature seeds, raw   15.70
2025    8588       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNA...   15.69
6195   19166      1900  Cocoa, dry powder, unsweetened, processed with...   15.52
