Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
7864   28057      1800  KEEBLER, CHIPS DELUXE, Oatmeal Chocolate Chip ...    3.20
8180   28379      1800       PEPPERIDGE FARM, Raisin Cinnamon Swirl Bread    3.20
6075   19034      2500                        Snacks, popcorn, air-popped    3.19
4633   15155      1500  Mollusks, abalone, mixed species, raw (Halioti...    3.19
6535   20072      2000      Wheat, hard red winter (Triticum aestivum L.)    3.19
5606   18057      1800                      Bread, reduced-calorie, white    3.19
6265   19255      1900    Candies, MARS SNACKFOOD US, DOVE Dark Chocolate    3.18
8657   43100      2500  Breakfast bars, oats, sugar, raisins, coconut ...    3.18
8101   28299      1800  Cookies, chocolate sandwich, with creme fillin...    3.18
6311   19327      1900  Candies, MARS SNACKFOOD US, COCOAVIA Blueberry...    3.18
5615   18071      1800  Bread, white, prepared from recipe, made with ...    3.18
8170   28369      1800  SCHAR, Gluten-Free, Wheat-Free, Classic White ...    3.17
292     2044       200                    Basil, fresh (Ocimum basilicum)    3.17
8161   28360      1800  MARY'S GONE CRACKERS, Original Crackers, Organ...    3.17
6021   18973      1800                 Focaccia, Italian flatbread, plain    3.16
5723   18217      1800                             Crackers, matzo, plain    3.16
5600   18048      1800                   Bread, raisin, enriched, toasted    3.15
5601   18049      1800                   Bread, reduced-calorie, oat bran    3.15
5598   18045      1800                       Bread, pumpernickel, toasted    3.15
2838   11031      1100  Lima beans, immature seeds, raw (Phaseolus lun...    3.14
6642   20648      2000                         Sorghum flour, whole-grain    3.14
3405   11789      1100  Jute, potherb, cooked, boiled, drained, with salt    3.14
4992   16379      1600  Mothbeans, mature seeds, cooked, boiled, with ...    3.14
4816   16079      1600  Mothbeans, mature seeds, cooked, boiled, witho...    3.14
2981   11232      1100  Jute, potherb, cooked, boiled, drained, withou...    3.14
6386   19701      1900     Candies, semisweet chocolate, made with butter    3.13
6113   19080      1900                       Candies, semisweet chocolate    3.13
3570   11961      1100                             Hearts of palm, canned    3.13
2098    8691       800  Cereals, QUAKER, oatmeal, REAL MEDLEYS, summer...    3.13
5680   18167      1800  Cookies, chocolate sandwich, with creme fillin...    3.13
3688   12154      1200        Nuts, walnuts, black, dried (Juglans nigra)    3.12
5590   18037      1800                                    Bread, oat bran    3.12
5768   18265      1800                    English muffins, wheat, toasted    3.12
8774   44061      1900  Puddings, chocolate flavor, low calorie, insta...    3.11
5797   18300      1800  Pancakes, whole-wheat, dry mix, incomplete, pr...    3.11
8031   28229      1800             MURRAY, SUGAR FREE, Shortbread Cookies    3.10
5604   18053      1800                        Bread, reduced-calorie, rye    3.10
7930   28126      1800  KEEBLER, SANDIES, Dark Chocolate Almond Shortb...    3.10
7925   28121      1800  KEEBLER, 100 Calorie RIGHT BITES, Sandies Shor...    3.10
5609   18061      1800                                Bread, rye, toasted    3.10
8024   28222      1800           MURRAY, SUGAR FREE, Fudge Dipped Grahams    3.10
8189   28388      1800                  PEPPERIDGE FARM, Deli Swirl Bread    3.10
6038   18990      1800             AUSTIN, PB & J Crackers, sandwich-type    3.10
7852   28045      1800                     KEEBLER, ANIMALS, Iced Cookies    3.10
5619   18077      1800           Bread, whole-wheat, prepared from recipe    3.10
2998   11249      1100  Lentils, sprouted, cooked, stir-fried, without...    3.10
6033   18985      1800  AUSTIN, Chocolatey Peanut Butter Crackers, san...    3.10
2959   11207      1100       Dandelion greens, raw (Taraxacum officinale)    3.10
1966    8462       800  Cereals ready-to-eat, KASHI, ORGANIC PROMISE A...    3.10
3536   11926      1100   Lentils, sprouted, cooked, stir-fried, with salt    3.10
7907   28103      1800  KEEBLER, GRIPZ, CHIPS DELUXE, Rainbow Chocolat...    3.10
5572   18013      1800  Biscuits, plain or buttermilk, refrigerated do...    3.09
2027    8590       800  Cereals ready-to-eat, KASHI HEART TO HEART, Wa...    3.09
8104   28302      1800   Cookies, graham crackers, plain or honey, lowfat    3.09
2096    8689       800  Cereals, QUAKER, oatmeal, REAL MEDLEYS, bluebe...    3.08
5567   18007      1800                                   Bagels, oat bran    3.08
5895   18429      1800                    Crackers, whole-wheat, low salt    3.08
8128   28326      1800  Crackers, whole grain, sandwich-type, with pea...    3.07
5612   18066      1800                                  Bread, wheat bran    3.07
3685   12149      1200      Nuts, pine nuts, pinyon, dried (Pinus edulis)    3.06
5595   18042      1800                           Bread, pita, whole-wheat    3.06
4273   14204      1400  Beverages, coffee and cocoa, instant, decaffei...    3.06
5948   18540      1800  ARCHWAY Home Style Cookies, Old Fashioned Wind...    3.06
4985   16361      1600  Cowpeas, catjang, mature seeds, cooked, boiled...    3.05
5790   18291      1800  Pancakes, plain, dry mix, incomplete (includes...    3.05
5795   18297      1800                 Pancakes, special dietary, dry mix    3.05
1830    8090       800  Cereals, corn grits, white, regular and quick,...    3.05
6096   19059      2500                         Snacks, trail mix, regular    3.05
4799   16061      1600  Cowpeas, catjang, mature seeds, cooked, boiled...    3.05
6011   18963      1800                               Garlic bread, frozen    3.05
6413   19821      2500               Snacks, trail mix, regular, unsalted    3.05
6062   19017      2500         Snacks, granola bars, hard, chocolate chip    3.05
5633   18096      1800  Cake, chocolate, commercially prepared with ch...    3.04
274     2025       200        Spices, nutmeg, ground (Myristica fragrans)    3.04
5733   18227      1800                    Crackers, rye, wafers, seasoned    3.04
5583   18027      1800                                         Bread, egg    3.04
5773   18270      1800                 Hush puppies, prepared from recipe    3.04
5882   18416      1800  Bread, white, commercially prepared, low sodiu...    3.03
5763   18260      1800    English muffins, mixed-grain (includes granola)    3.02
1977    8491       800  Cereals ready-to-eat, MOM'S BEST, Honey Nut TO...    3.02
5644   18112      1800      Cake, pudding-type, german chocolate, dry mix    3.01
6499   20031      2000                 Millet, raw (Panicum miliaceum L.)    3.01
8108   28306      1800  Bread, chapati or roti, plain, commercially pr...    3.01
2039    8610       800         Cereals ready-to-eat, KASHI Honey Sunshine    3.00
7867   28060      1800  KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip ...    3.00
8682   43218       800                        Cereals ready-to-eat, ALPEN    3.00
2850   11048      1100   Beans, pinto, immature seeds, frozen, unprepared    3.00
7960   28156      1800                              KEEBLER, Waffle Cones    3.00
7942   28138      1800    KEEBLER, TOWN HOUSE, Bistro Multigrain Crackers    3.00
3279   11622      1100  Kale, scotch, raw (Brassica napus (Pabularia G...    3.00
7843   28035      1800                    GIRL SCOUTS, Thin Mints Cookies    3.00
7949   28145      1800  KEEBLER, TOWN HOUSE, TOPPERS, Garlic Herb Crac...    3.00
6031   18983      1800  AUSTIN, Cheddar Cheese on Wheat Crackers, sand...    3.00
7844   28036      1800                      GIRL SCOUTS, Trefoils Cookies    3.00
7959   28155      1800                              KEEBLER, Waffle Bowls    3.00
8023   28221      1800  MURRAY, SUGAR FREE, Chocolate Chip & Pecan Coo...    3.00
8096   28294      1800           Cookie, chocolate, with icing or coating    3.00
1948    8388       800    Cereals ready-to-eat, KASHI 7 Whole Grain Puffs    3.00
7858   28051      1800         KEEBLER, Cheese on Wheat Sandwich Crackers    3.00
5084   16603      1600  MORNINGSTAR FARMS Breakfast Biscuit Sausage, E...    3.00
8116   28314      1800  Crackers, sandwich-type, peanut butter filled,...    3.00
8032   28230      1800               MURRAY, SUGAR FREE, Shortbread Bites    3.00
2072    8663       800  Cereals ready-to-eat, KASHI ORGANIC PROMISE, B...    3.00
2100    8693       800  Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry...    2.99
5839   18352      1800        Rolls, hamburger or hotdog, reduced-calorie    2.99
4789   16051      1600                 Beans, white, mature seeds, canned    2.99
8112   28310      1800                   Cookies, shortbread, reduced fat    2.98
5703   18192      1800  Cookies, shortbread, commercially prepared, plain    2.98
4967   16331      1600  Beans, kidney, california red, mature seeds, c...    2.98
4769   16031      1600  Beans, kidney, california red, mature seeds, c...    2.98
3228   11546      1100  Tomato products, canned, paste, without salt a...    2.98
3582   11975      1100                               Grape leaves, canned    2.98
5616   18073      1800  Bread, white, prepared from recipe, made with ...    2.97
5829   18339      1800                        Popovers, dry mix, enriched    2.97
5870   18396      1800  Rolls, dinner, plain, prepared from recipe, ma...    2.96
5618   18076      1800  Bread, whole-wheat, commercially prepared, toa...    2.96
6060   19015      2500                  Snacks, granola bars, hard, plain    2.95
4793   16055      1600                    Carob flour (Ceratonia siliqua)    2.94
5588   18033      1800                                     Bread, italian    2.94
4966   16328      1600  Beans, kidney, all types, mature seeds, cooked...    2.94
5593   18040      1800                            Bread, oatmeal, toasted    2.94
4771   16033      1600  Beans, kidney, red, mature seeds, cooked, boil...    2.94
4968   16333      1600  Beans, kidney, red, mature seeds, cooked, boil...    2.94
5634   18097      1800             Cake, pudding-type, chocolate, dry mix    2.92
8114   28312      1800   Rolls, hamburger or hot dog, wheat/cracked wheat    2.92
4569   15088      1500  Fish, sardine, Atlantic, canned in oil, draine...    2.92
7915   28111      1800          KEEBLER, READY CRUST, Chocolate Pie Crust    2.92
6169   19139      1900  Baking chocolate, MARS SNACKFOOD US, M&M's Sem...    2.91
3689   12155      1200             Nuts, walnuts, english (Juglans regia)    2.91
5605   18055      1800                      Bread, reduced-calorie, wheat    2.91
7016   22121      1600  MORNINGSTAR FARMS Grillers Vegan, frozen, unpr...    2.90
1994    8537       800   Cereals ready-to-eat, KASHI 7 Whole Grain Flakes    2.90
1866    8159       800  Cereals, corn grits, yellow, regular and quick...    2.90
7962   28158      1800  KEEBLER, WHEATABLES, Nut Crisp Crackers, Roast...    2.90
6025   18977      1800                KASHI, TLC, Toasted Asiago Crackers    2.90
5599   18047      1800                            Bread, raisin, enriched    2.90
7929   28125      1800  KEEBLER, SANDIES, Chocolate Chip & Pecan Short...    2.90
5575   18016      1800  Biscuits, plain or buttermilk, prepared from r...    2.90
5682   18170      1800                                  Cookies, fig bars    2.90
7926   28122      1800  KEEBLER, 100 Calorie RIGHT BITES, Sandies Shor...    2.90
7961   28157      1800          KEEBLER, WHEATABLES, Honey Wheat Crackers    2.90
5069   16581      1600  GARDENBURGER Flame Grilled Burger, frozen, unp...    2.90
7912   28108      1800                   KEEBLER, Holiday Jingles Cookies    2.90
5826   18336      1800  Pie crust, standard-type, prepared from recipe...    2.89
4795   16057      1600  Chickpeas (garbanzo beans, bengal gram), matur...    2.89
4981   16357      1600  Chickpeas (garbanzo beans, bengal gram), matur...    2.89
4704   15227      1500       Crustaceans, crab, queen, cooked, moist heat    2.88
5646   18116      1800            Cake, gingerbread, prepared from recipe    2.88
8745   43495       800  Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH ...    2.88
1883    8200       800    Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry    2.88
5597   18044      1800                                Bread, pumpernickel    2.87
7698   25000      2500           Snacks, popcorn, microwave, 94% fat free    2.87
5767   18264      1800                             English muffins, wheat    2.87
6003   18955      1800                Bread, pan dulce, sweet yeast bread    2.87
1814    8066       800   Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice    2.86
4961   16317      1600  Beans, black turtle, mature seeds, cooked, boi...    2.85
3157   11445      1100                Seaweed, kelp, raw (Laminaria spp.)    2.85
4755   16017      1600  Beans, black turtle, mature seeds, cooked, boi...    2.85
4879   16149      1600                       Peanut spread, reduced sugar    2.84
4976   16346      1600  Beans, small white, mature seeds, cooked, boil...    2.84
4784   16046      1600  Beans, small white, mature seeds, cooked, boil...    2.84
8185   28384      1800         PEPPERIDGE FARM, Farmhouse Sourdough Bread    2.84
8147   28345      1800  Crackers, gluten-free, multi-seeded and multig...    2.83
5608   18060      1800                                         Bread, rye    2.83
3714   12206      1200           Nuts, almonds, honey roasted, unblanched    2.83
5868   18388      1800  Muffins, wheat bran, toaster-type with raisins...    2.83
5748   18243      1800                                 Croutons, seasoned    2.82
8134   28332      1800  Cookies, gluten-free, chocolate sandwich, with...    2.81
4637   15159      1500  Mollusks, clam, mixed species, cooked, moist heat    2.81
8157   28356      1800  GLUTINO, Gluten Free Cookies, Chocolate Vanill...    2.81
1806    8054       800  Cereals ready-to-eat, QUAKER, 100% Natural Gra...    2.81
5969   18632      1800      PILLSBURY, Traditional Fudge Brownie Mix, dry    2.81
5781   18279      1800               Muffins, corn, commercially prepared    2.81
8744   43483       800                                     Millet, puffed    2.81
5582   18025      1800                               Bread, cracked-wheat    2.81
8184   28383      1800  PEPPERIDGE FARM, Whole Grain 100% Whole Wheat ...    2.80
8192   28391      1800           PEPPERIDGE FARM, Seeded Jewish Rye Bread    2.80
7862   28055      1800  KEEBLER, CHIPS DELUXE, Dark Chocolate Chunk Co...    2.80
2005    8560       800  Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, H...    2.80
7910   28106      1800         KEEBLER, Almond Crescents Cookies, Holiday    2.80
2028    8591       800  Cereals ready-to-eat, KASHI ORGANIC PROMISE, I...    2.80
7933   28129      1800  KEEBLER, SANDIES, Pecan Shortbread Cookies, Re...    2.80
5825   18335      1800  Pie crust, standard-type, frozen, ready-to-bak...    2.80
8000   28197      1800                  MOTHER'S, Coconut Cocadas Cookies    2.80
8080   28278      1800                MURRAY, SUGAR FREE, Oatmeal Cookies    2.80
2390    9322       900                 Tamarinds, raw (Tamarindus indica)    2.80
3681   12143      1200      Nuts, pecans, dry roasted, without salt added    2.80
5035   16518      1600          WORTHINGTON Saucettes, canned, unprepared    2.80
2425    9423       900                                        Prune puree    2.80
5056   16549      1600  MORNINGSTAR FARMS Grillers Prime, frozen, unpr...    2.80
2099    8692       800  Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach ...    2.80
3733   12643      1200         Nuts, pecans, dry roasted, with salt added    2.80
5045   16529      1600            WORTHINGTON FriPats, frozen, unprepared    2.80
1996    8539       800  Cereals ready-to-eat, KASHI ORGANIC PROMISE, C...    2.80
1946    8386       800         Cereals ready-to-eat, KASHI GOLEAN CRUNCH!    2.79
3304   11666      1100           Seaweed, spirulina, raw (Spirulina spp.)    2.79
6485   20015      2000                                   Corn bran, crude    2.79
5719   18213      1800                Cookies, vanilla wafers, higher fat    2.79
5691   18179      1800  Cookies, oatmeal, commercially prepared, soft-...    2.79
8183   28382      1800           PEPPERIDGE FARM, Farmhouse Oatmeal Bread    2.79
8738   43441      1800                                Rolls, pumpernickel    2.78
5978   18651      1800  NABISCO, NABISCO SNACKWELL'S Fat Free Devil's ...    2.78
8683   43241       800                      Cereals ready-to-eat, FAMILIA    2.78
8611   42259      2500  Snacks, popcorn, home-prepared, oil-popped, un...    2.78
6401   19807      2500  Snacks, popcorn, oil-popped, white popcorn, sa...    2.78
4774   16036      1600  Beans, kidney, royal red, mature seeds, cooked...    2.77
5737   18231      1800  Crackers, standard snack-type, sandwich, with ...    2.77
4970   16336      1600  Beans, kidney, royal red, mature seeds, cooked...    2.77
5569   18010      1800             Biscuits, plain or buttermilk, dry mix    2.77
2097    8690       800  Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple ...    2.77
6114   19081      1900                           Candies, sweet chocolate    2.76
6016   18968      1800                                      Bagels, wheat    2.76
8199   28399      1800  Cookies, animal crackers (includes arrowroot, ...    2.75
5576   18017      1800          Biscuits, mixed grain, refrigerated dough    2.75
4886   16160      1600                   Tofu, hard, prepared with nigari    2.75
8150   28348      1800                               Rolls, dinner, sweet    2.74
5730   18224      1800                               Crackers, rusk toast    2.72
5949   18541      1800          ARCHWAY Home Style Cookies, Peanut Butter    2.72
5721   18215      1800  Crackers, cheese, sandwich-type with peanut bu...    2.72
5655   18133      1800                Cake, sponge, commercially prepared    2.72
5589   18036      1800  Bread, multi-grain, toasted (includes whole-gr...    2.72
3166   11457      1100                   Spinach, raw (Spinacia oleracea)    2.71
8178   28377      1800   PEPPERIDGE FARM, 100% Whole Wheat Hamburger Buns    2.71
3337   11720      1100  Beans, pinto, immature seeds, frozen, cooked, ...    2.71
2851   11049      1100  Beans, pinto, immature seeds, frozen, cooked, ...    2.71
5836   18349      1800                                      Rolls, french    2.71
6297   19310      1900                       Pectin, unsweetened, dry mix    2.71
6594   20314      2000                                  Corn grain, white    2.71
6484   20014      2000              Corn grain, yellow (Zea mays mays L.)    2.71
7888   28082      1800  KEEBLER, FUDGE SHOPPE, Peanut Creme Filled Coo...    2.70
2007    8562       800  Cereals, KASHI GO LEAN Hot Cereal, Creamy TRUL...    2.70
7868   28061      1800  KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip ...    2.70
4850   16114      1600                                             Tempeh    2.70
2088    8681       800  Cereals ready-to-eat, CASCADIAN FARM, Cinnamon...    2.70
2090    8683       800  Cereals ready-to-eat, CASCADIAN FARM, Multi-Gr...    2.70
5087   16608      1600  MORNINGSTAR FARMS Chik Patties Original, froze...    2.70
6567   20114      2000                       Noodles, japanese, soba, dry    2.70
5592   18039      1800                                     Bread, oatmeal    2.70
6271   19268      1900        Candies, dark chocolate coated coffee beans    2.70
7735   25041      2500  Snacks, granola bar, KASHI TLC Bar, crunchy, m...    2.70
6044   18996      1800  KELLOGG'S, EGGO, Biscuit Scramblers, Egg & Cheese    2.70
8016   28213      1800              MURRAY, Duplex Creme Sandwich Cookies    2.70
6043   18995      1800  KELLOGG'S, EGGO, Biscuit Scramblers, Bacon, Eg...    2.70
7828   28020      1800               KASHI, TLC, Pita Crisps, Zesty Salsa    2.70
7928   28124      1800        KEEBLER, SANDIES, Cashew Shortbread Cookies    2.70
5724   18218      1800                               Crackers, matzo, egg    2.70
5862   18377      1800  Cookies, oatmeal, prepared from recipe, withou...    2.70
5833   18346      1800                                 Rolls, dinner, rye    2.70
7998   28195      1800                   MOTHER'S, Chocolate Chip Cookies    2.70
5587   18032      1800            Bread, irish soda, prepared from recipe    2.69
1892    8218       800  Cereals ready-to-eat, QUAKER, QUAKER 100% Natu...    2.69
6089   19050      2500  Snacks, pretzels, hard, whole-wheat including ...    2.69
6579   20130      2000                               Barley flour or meal    2.68
4638   15160      1500  Mollusks, clam, mixed species, canned, drained...    2.68
8156   28355      1800  CRUNCHMASTER, Multi-Grain Crisps, Snack Cracke...    2.68
3565   11956      1100        Tomatoes, sun-dried, packed in oil, drained    2.68
5740   18234      1800  Crackers, wheat, sandwich, with peanut butter ...    2.67
6400   19806      2500             Snacks, popcorn, air-popped (Unsalted)    2.66
2150    9032       900                Apricots, dried, sulfured, uncooked    2.66
5770   18267      1800              English muffins, whole-wheat, toasted    2.66
5012   16426      1600     Tofu, raw, firm, prepared with calcium sulfate    2.66
3729   12632      1200  Nuts, macadamia nuts, dry roasted, with salt a...    2.65
6164   19134      1900          Candies, milk chocolate, with rice cereal    2.65
5845   18358      1800  Sweet rolls, cinnamon, refrigerated dough with...    2.65
5695   18184      1800  Cookies, oatmeal, prepared from recipe, with r...    2.65
3673   12132      1200  Nuts, macadamia nuts, dry roasted, without sal...    2.65
6097   19061      2500                        Snacks, trail mix, tropical    2.64
5017   16434      1600  Yardlong beans, mature seeds, cooked, boiled, ...    2.64
4869   16134      1600  Yardlong beans, mature seeds, cooked, boiled, ...    2.64
5738   18232      1800                           Crackers, wheat, regular    2.64
8139   28337      1800  Bread, gluten-free, white, made with rice flou...    2.63
5937   18522      1800  ARCHWAY Home Style Cookies, Chocolate Chip Ice...    2.63
1862    8147       800  Cereals ready-to-eat, POST, Shredded Wheat, or...    2.63
6525   20062      2000                      Rye grain (Secale cereale L.)    2.63
3581   11974      1100                 Grape leaves, raw (Vitis vinifera)    2.63
8097   28295      1800      Tortillas, ready-to-bake or -fry, whole wheat    2.63
5594   18041      1800                       Bread, pita, white, enriched    2.62
5739   18233      1800     Crackers, wheat, sandwich, with cheese filling    2.62
3676   12137      1200  Nuts, mixed nuts, oil roasted, with peanuts, w...    2.61
3731   12637      1200  Nuts, mixed nuts, oil roasted, with peanuts, w...    2.61
5784   18282      1800  Muffins, corn, prepared from recipe, made with...    2.61
3740   12737      1200  Nuts, mixed nuts, oil roasted, with peanuts, l...    2.61
3708   12200      1200  Nuts, formulated, wheat-based, all flavors exc...    2.60
1269    6101       600              Soup, cream of vegetable, dry, powder    2.60
8068   28266      1800  KEEBLER, READY CRUST, Graham Pie Crust (10"), ...    2.60
8018   28215      1800                       MURRAY, JACKS Vanilla Wafers    2.60
5966   18629      1800  PILLSBURY, Buttermilk Biscuits, Artificial Fla...    2.60
5990   18942      1800  Pie Crust, Cookie-type, Graham Cracker, Ready ...    2.60
2058    8647       800         Cereals ready-to-eat, KASHI INDIGO MORNING    2.60
8069   28267      1800        KEEBLER, SANDIES, Simply Shortbread Cookies    2.60
5717   18211      1800          Puff pastry, frozen, ready-to-bake, baked    2.60
6039   18991      1800                  BARBARA DEE, Winter Mints Cookies    2.60
8181   28380      1800        PEPPERIDGE FARM, Whole Grain 15 Grain Bread    2.60
8196   28395      1800  PEPPERIDGE FARM, Whole Grain Honey Whole Wheat...    2.60
2059    8648       800           Cereals ready-to-eat, KASHI Simply Maize    2.60
5701   18190      1800           Cookies, peanut butter sandwich, regular    2.60
7883   28077      1800  KEEBLER, FUDGE SHOPPE, Cheesecake Middles, Ori...    2.60
7881   28075      1800        KEEBLER, E.L. FUDGE, Double Stuffed Cookies    2.60
8197   28396      1800         PEPPERIDGE FARM, Whole Grain Oatmeal Bread    2.60
5824   18334      1800  Pie crust, standard-type, frozen, ready-to-bak...    2.60
7855   28048      1800  KEEBLER, BAKER'S TREASURES, Oatmeal Raisin Coo...    2.60
7846   28038      1800            JACKSON'S, Old Fashioned Vanilla Wafers    2.60
5039   16523      1600  WORTHINGTON Vegetarian Burger, canned, unprepared    2.60
7845   28037      1800      JACKSON'S, Old Fashioned Lemon Jumble Cookies    2.60
8123   28321      1800  Rolls, hamburger, whole grain white, calcium-f...    2.59
8094   28292      1800                               Crackers, multigrain    2.59
2371    9299       900                   Raisins, seeded (Vitis vinifera)    2.59
6533   20070      2000                       Triticale flour, whole-grain    2.59
8193   28392      1800  PEPPERIDGE FARM, Farmhouse 100% Whole Wheat Bread    2.58
1893    8220       800  Cereals ready-to-eat, QUAKER, Low Fat 100% Nat...    2.58
5690   18178      1800   Cookies, oatmeal, commercially prepared, regular    2.58
3691   12157      1200        Nuts, walnuts, dry roasted, with salt added    2.57
5574   18015      1800  Biscuits, plain or buttermilk, refrigerated do...    2.57
2817   11005      1100              Arrowhead, raw (Sagittaria latifolia)    2.57
5874   18402      1800  Pie crust, standard-type, prepared from recipe...    2.57
3677   12138      1200  Nuts, mixed nuts, oil roasted, without peanuts...    2.57
6532   20069      2000                   Triticale (X Triticosecale spp.)    2.57
3732   12638      1200  Nuts, mixed nuts, oil roasted, without peanuts...    2.57
6355   19405      2500  Snacks, granola bars, soft, uncoated, chocolat...    2.57
2866   11086      1100                   Beet greens, raw (Beta vulgaris)    2.57
5827   18337      1800                 Puff pastry, frozen, ready-to-bake    2.56
6064   19020      2500        Snacks, granola bars, soft, uncoated, plain    2.56
2000    8546      2500                          Rice and Wheat cereal bar    2.56
5709   18201      1800   Cookies, peanut butter sandwich, special dietary    2.55
6237   19220      1900               Desserts, rennin, chocolate, dry mix    2.55
4832   16095      1600          Peanuts, virginia, raw (Arachis hypogaea)    2.55
7748   25060      2500              Snack, Pretzel, hard chocolate coated    2.54
6527   20064      2000                                  Rye flour, medium    2.54
5651   18126      1800  Cake, shortcake, biscuit-type, prepared from r...    2.54
1922    8290       800  Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 F...    2.54
6053   19005      2500         Snacks, corn-based, extruded, cones, plain    2.54
8117   28315      1800                                    Bread, cinnamon    2.54
5753   18248      1800  Doughnuts, cake-type, plain (includes unsugare...    2.53
8182   28381      1800      PEPPERIDGE FARM, Farmhouse Hearty White Bread    2.53
3680   12142      1200                 Nuts, pecans (Carya illinoinensis)    2.53
5688   18176      1800  Cookies, marshmallow, chocolate-coated (includ...    2.53
6004   18956      1800             Keikitos (muffins), Latino bakery item    2.53
6055   19008      2500  Snacks, corn-based, extruded, puffs or twists,...    2.53
8122   28320      1800                 English muffins, whole grain white    2.53
6006   18958      1800  Pan Dulce, LA RICURA, Salpora de Arroz con Azu...    2.52
3707   12198      1200  Seeds, sesame butter, tahini, from raw and sto...    2.51
4986   16363      1600  Cowpeas, common (blackeyes, crowder, southern)...    2.51
4801   16063      1600  Cowpeas, common (blackeyes, crowder, southern)...    2.51
5911   18448      1800             Taco shells, baked, without added salt    2.50
2338    9265       900     Persimmons, native, raw (Diospyros virginiana)    2.50
6116   19084      1900        Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES    2.50
7019   22126      1600          LOMA LINDA Big Franks, canned, unprepared    2.50
5903   18437      1800  English muffins, plain, enriched, without calc...    2.50
6061   19016      2500                 Snacks, granola bars, hard, almond    2.50
6476   20005      2000                               Barley, pearled, raw    2.50
3162   11451      1100  Soybeans, green, cooked, boiled, drained, with...    2.50
1863    8148       800  Cereals ready-to-eat, POST, Shredded Wheat, or...    2.50
7836   28028      1800          FAMOUS AMOS, Chocolate Chip Pecan Cookies    2.50
8028   28226      1800       MURRAY, SUGAR FREE, Pecan Shortbread Cookies    2.50
5091   16613      1600  MORNINGSTAR FARMS Breakfast Sandwich Veggie Sa...    2.50
5077   16592      1600  MORNINGSTAR FARMS California Turk'y Burger, fr...    2.50
5062   16557      1600  MORNINGSTAR FARMS Chik Patties, frozen, unprep...    2.50
3467   11853      1100  Soybeans, green, cooked, boiled, drained, with...    2.50
8072   28270      1800                 MOTHER'S, Vanilla Sandwich Cookies    2.50
8071   28269      1800            MOTHER'S, Old Fashioned Oatmeal Cookies    2.50
4622   15144      1500  Crustaceans, crab, queen, raw (Chionoectes opi...    2.50
4499   15018      1500              Fish, cod, Atlantic, dried and salted    2.50
2895   11118      1100                                    Cabbage, kimchi    2.50
7860   28053      1800  KEEBLER, CHIPS DELUXE, Chocolate Malt Chunk Co...    2.50
7861   28054      1800             KEEBLER, CHIPS DELUXE, Coconut Cookies    2.50
7932   28128      1800  KEEBLER, SANDIES, Pecan Shortbread Cookies, bi...    2.50
7935   28131      1800                      KEEBLER, Sweet Cremes Cookies    2.50
7965   28161      1800           KELLOGG'S, ALL-BRAN, Multigrain Crackers    2.50
7993   28190      1800          KELLOGG'S, SPECIAL K, Multigrain Crackers    2.50
8002   28199      1800             MOTHER'S, English Tea Sandwich Cookies    2.50
8009   28206      1800     MOTHER'S, Old Fashioned Chocolate Chip Cookies    2.50
8019   28216      1800         MURRAY, Old Fashioned Iced Oatmeal Cookies    2.50
8027   28225      1800          MURRAY, SUGAR FREE, Peanut Butter Cookies    2.50
1949    8389       800  Cereals ready-to-eat, KASHI 7 Whole Grain Hone...    2.50
5581   18024      1800  Bread, cornbread, prepared from recipe, made w...    2.50
5677   18164      1800  Cookies, chocolate chip, refrigerated dough, b...    2.50
8198   28397      1800          Bread, multi-grain (includes whole-grain)    2.50
5579   18022      1800  Bread, cornbread, dry mix, enriched (includes ...    2.50
8131   28329      1800          Cookies, chocolate, made with rice cereal    2.49
4848   16112      1600                                               Miso    2.49
6020   18972      1800                                      Bread, cheese    2.49
1229    6030       600  Soup, clam chowder, new england, canned, conde...    2.48
5863   18378      1800  Cookies, chocolate chip, prepared from recipe,...    2.48
4786   16048      1600  Beans, yellow, mature seeds, cooked, boiled, w...    2.48
2149    9031       900  Apricots, dehydrated (low-moisture), sulfured,...    2.48
4511   15030      1500        Fish, gefiltefish, commercial, sweet recipe    2.48
5670   18156      1800  Cookies, fudge, cake-type (includes trolley ca...    2.48
5573   18014      1800  Biscuits, plain or buttermilk, refrigerated do...    2.48
4978   16348      1600  Beans, yellow, mature seeds, cooked, boiled, w...    2.48
8103   28301      1800  Cookies, peanut butter, commercially prepared,...    2.48
6479   20009      2000                     Buckwheat groats, roasted, dry    2.47
5617   18075      1800          Bread, whole-wheat, commercially prepared    2.47
3734   12644      1200         Nuts, pecans, oil roasted, with salt added    2.47
