Long_Desc                                                                  VITA_RAE
Kale, raw (Brassica oleracea (Acephala Group))                             500.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Red Berries             499.0
Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS                       498.0
Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL                     498.0
Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS               498.0
Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar TRIX                   498.0
Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS                         495.0
Mustard spinach, (tendergreen), raw (Brassica rapa (Perviridis Group))     495.0
Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry                    494.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX                           494.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes                       490.0
Spinach, canned, regular pack, drained solids                              490.0
KELLOGG'S, EGGO, Waffles, Cinnamon Toast                                   489.0
Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS                               481.0
Cereals ready-to-eat, KELLOGG'S, Reduced Sugar Frosted Flakes Cereal       481.0
Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH                         479.0
Peas and carrots, frozen, cooked, boiled, drained, without salt            476.0
Peas and carrots, frozen, cooked, boiled, drained, with salt               476.0
Peas and carrots, frozen, unprepared                                       475.0
Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS                        472.0
Spinach, raw (Spinacia oleracea)                                           469.0
Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch            467.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS                         467.0
Toaster pastries, fruit, toasted (include apple, blueberry, cherry, st     467.0
Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS, 25% Reduced Sugar        466.0
Collards, frozen, chopped, unprepared                                      459.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisi     459.0
Sweet potato, canned, syrup pack, drained solids                           458.0
KELLOGG'S, EGGO, Waffles, Homestyle                                        457.0
Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice                             455.0
Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes                          454.0
Pancakes plain, frozen, ready-to-heat (includes buttermilk)                453.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES                    450.0
KEEBLER, Cinnamon Toast Grahams                                            450.0
Pie, pumpkin, commercially prepared                                        448.0
Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES                         448.0
Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry                      440.0
Cereals ready-to-eat, GENERAL MILLS, Corn CHEX                             440.0
Cereals, oats, instant, fortified, with cinnamon and spice, dry            440.0
Waffle, buttermilk, frozen, ready-to-heat, toasted                         437.0
Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S                            436.0
Lettuce, cos or romaine, raw (Lactuca sativa var. logifolia)               436.0
Pokeberry shoots, (poke), raw (Phytolacca americana)                       435.0
Sweet potato, canned, mashed                                               435.0
Pokeberry shoots, (poke), cooked, boiled, drained, with salt               435.0
Pokeberry shoots, (poke), cooked, boiled, drained, without salt            435.0
Sweet Potatoes, french fried, frozen as packaged, salt added in proces     434.0
Cereals ready-to-eat, GENERAL MILLS, BERRY BERRY KIX                       433.0
Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX                        432.0
Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch                      431.0
Turnip greens and turnips, frozen, cooked, boiled, drained, with salt      431.0
Turnip greens and turnips, frozen, cooked, boiled, drained, without sa     431.0
Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal              430.0
KELLOGG'S, EGGO, Waffles, Chocolate Chip                                   429.0
KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Honey Oat                           429.0
KELLOGG'S, EGGO, Waffles, Blueberry                                        429.0
KELLOGG'S, EGGO, Waffles, Buttermilk                                       429.0
KELLOGG'S, EGGO, FIBERPLUS Waffles, Buttermilk                             429.0
KELLOGG'S, EGGO, FIBERPLUS Waffles, Chocolate Chip                         429.0
KELLOGG'S, EGGO Protein, Waffles, Homestyle                                429.0
Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX                        429.0
KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Blueberry                           429.0
KELLOGG'S, EGGO, Waffles, Homestyle, Low Fat                               429.0
KELLOGG'S, EGGO, NUTRI-GRAIN, Waffles, Original                            429.0
KELLOGG'S, EGGO Seasons, Waffles, Pumpkin Spice                            429.0
KELLOGG'S, EGGO, Waffles, Strawberry                                       429.0
KELLOGG'S, SIMPLY EGGO, Original                                           429.0
Waffles, chocolate chip, frozen, ready-to-heat                             429.0
Waffle, buttermilk, frozen, ready-to-heat, microwaved                      429.0
Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRU     426.0
Pumpkin, raw (Cucurbita spp.)                                              426.0
Pie, pumpkin, prepared from recipe                                         426.0
Parsley, fresh (Petroselinum crispum)                                      421.0
Cereals ready-to-eat, GENERAL MILLS, BOO BERRY                             421.0
Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY                          420.0
Pumpkin pie mix, canned                                                    415.0
Mustard spinach, (tendergreen), cooked, boiled, drained, with salt         410.0
Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruit     410.0
Mustard spinach, (tendergreen), cooked, boiled, drained, without salt      410.0
Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan             407.0
Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry (Chondrus crispus)         406.0
Winged bean leaves, raw (Psophocarpus tetragonolobus)                      405.0
Spinach, canned, regular pack, solids and liquids                          404.0
Spinach, canned, no salt added, solids and liquids                         404.0
Spices, marjoram, dried (Origanum majorana)                                403.0
Waffles, buttermilk, frozen, ready-to-heat                                 401.0
Cereals ready-to-eat, POST SELECTS Blueberry Morning                       400.0
Vinespinach, (basella), raw (Basella alba)                                 400.0
Sweet potato, canned, vacuum pack                                          399.0
Waffles, plain, frozen, ready -to-heat, toasted                            398.0
KELLOGG'S, POP-TARTS, Frosted Cookies & Creme Toaster Pastries             397.0
KELLOGG'S, EGGO, Wafflers, Brown Sugar Cinnamon Roll                       395.0
KELLOGG'S, EGGO, Wafflers, Strawberry Strudel                              395.0
Lambsquarters, cooked, boiled, drained, without salt                       391.0
Lambsquarters, cooked, boiled, drained, with salt                          391.0
Dill weed, fresh (Anethum graveolens)                                      386.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN                       386.0
SUNSHINE, CHEEZ-IT, Hot & Spicy Crackers                                   384.0
Beet greens, cooked, boiled, drained, with salt                            383.0
Beet greens, cooked, boiled, drained, without salt                         383.0
Waffles, plain, frozen, ready-to-heat                                      381.0
Turnip greens, cooked, boiled, drained, without salt                       381.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted brown sugar ci     381.0
Turnip greens, cooked, boiled, drained, with salt                          381.0
Collards, cooked, boiled, drained, without salt                            380.0
Collards, cooked, boiled, drained, with salt                               380.0
Cereals ready-to-eat, POST Raisin Bran Cereal                              380.0
Drumstick leaves, raw (Moringa oleifera)                                   378.0
Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch                  378.0
Sweet potato, canned, syrup pack, solids and liquids                       377.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola with Raisins      375.0
Lettuce, red leaf, raw (Lactuca sativa var. crispa)                        375.0
Lettuce, green leaf, raw (Lactuca sativa var. crispa)                      370.0
KELLOGG'S, POP-TARTS, Frosted Wild Grape Toaster Pastries                  370.0
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted strawberry         368.0
KELLOGG'S, POP-TARTS, Frosted Apple Strudel Toaster Pastries               363.0
Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps                    359.0
Cereals ready-to-eat, QUAKER, Oatmeal Squares                              356.0
Cornsalad, raw (Valerianella locusta)                                      355.0
KELLOGG'S, POP-TARTS, Frosted Confetti Cake Toaster Pastries               355.0
Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon                    354.0
Mustard greens, frozen, cooked, boiled, drained, without salt              354.0
Mustard greens, frozen, cooked, boiled, drained, with salt                 354.0
Drumstick leaves, cooked, boiled, drained, without salt                    351.0
Drumstick leaves, cooked, boiled, drained, with salt                       351.0
Sweet potato, cooked, candied, home-prepared                               349.0
Cress, garden, raw (Lepidium sativum)                                      346.0
Peas and carrots, canned, no salt added, solids and liquids                343.0
Dandelion greens, cooked, boiled, drained, without salt                    342.0
Coriander (cilantro) leaves, raw (Coriandrum sativum)                      337.0
Squash, winter, hubbard, baked, without salt                               335.0
Squash, winter, hubbard, baked, with salt                                  335.0
KELLOGG'S, EGGO, French Toaster Sticks, Cinnamon                           334.0
KELLOGG'S, EGGO, French Toaster Sticks, Original                           334.0
KELLOGG'S, EGGO, Mini Muffin Tops, Blueberry                               326.0
KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip                          326.0
Candies, toffee, prepared-from-recipe                                      319.0
Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX                            317.0
Beet greens, raw (Beta vulgaris)                                           316.0
Swamp cabbage, (skunk cabbage), raw (Ipomoea aquatica)                     315.0
KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Ice Creme Sandwich Toas     313.0
KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Vanilla Milkshake Toast     313.0
KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted Strawberry Milkshake To     313.0
Kale, frozen, unprepared                                                   313.0
Spices, bay leaf (Laurus nobilis)                                          309.0
Turnip greens, frozen, unprepared                                          309.0
Chard, swiss, cooked, boiled, drained, without salt                        306.0
Chard, swiss, raw (Beta vulgaris subsp. vulagaris)                         306.0
Chard, swiss, cooked, boiled, drained, with salt                           306.0
Turnip greens and turnips, frozen, unprepared                              305.0
