|NDB_No|FdGrp_Cd|Long_Desc|FE
2040|8613|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Multigrain Oats and Honey|27.9
1799|8039|800|Cereals ready-to-eat, POST, GRAPE-NUTS Flakes|27.9
1964|8453|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Chocolatey Strawberry|27.89
1828|8087|800|Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS|27.89
1978|8493|800|Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS|27.27
1931|8348|800|Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice|27.27
2037|8603|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Blueberry|27.0
2032|8595|800|Cereals ready-to-eat, GENERAL MILLS, Cinnamon CHEX|27.0
2081|8674|800|Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey|27.0
1998|8543|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond|27.0
2036|8602|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan|27.0
1817|8069|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES|26.7
1786|8019|800|Cereals ready-to-eat, GENERAL MILLS, Corn CHEX|26.1
1944|8383|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Red Berries|26.1
2071|8662|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries|26.1
2022|8584|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight|26.1
2117|8711|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K protein, cinnamon brown sugar crunch|26.1
8293|35011|3500|Whale, beluga, meat, raw (Alaska Native) (Delphinapterus leucas)|25.9
2113|8707|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond|25.7
2031|8594|800|Cereals ready-to-eat, GENERAL MILLS, Chocolate CHEX|25.7
1969|8471|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K Protein Plus|25.3
1993|8531|800|Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit & Yogurt|25.3
2074|8666|800|Cereals ready-to-eat, GENERAL MILLS, Cinnamon Burst CHEERIOS|25.29
4160|14055|1400|Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,|24.84
333|3023|300|Finger snacks, GERBER GRADUATE PUFFS, apple and cinnamon|24.74
1848|8122|800|Cereals, oats, instant, fortified, plain, dry|24.72
2008|8567|800|Cereals ready-to-eat, KASHI 7 Whole Grain Nuggets|24.0
2079|8672|800|Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS|24.0
1917|8274|800|Cereals ready-to-eat, GENERAL MILLS, BERRY BERRY KIX|23.7
2583|10110|1000|Pork, fresh, variety meats and by-products, liver, raw|23.3
1887|8210|800|Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE|23.22
4481|14654|1400|Beverages, nutritional shake mix, high protein, powder|22.5
8623|42284|300|Babyfood, baked product, finger snacks cereal fortified|22.5
2590|10117|1000|Pork, fresh, variety meats and by-products, spleen, raw|22.32
1805|8050|800|Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS|22.27
2591|10118|1000|Pork, fresh, variety meats and by-products, spleen, cooked, braised|22.23
278|2029|200|Spices, parsley, dried (Petroselinum crispum)|22.04
2019|8580|800|Incaparina, dry mix (corn and soy flours), unprepared|22.0
2046|8629|800|Cereals ready-to-eat, QUAKER, Cap'n Crunch's OOPS! All Berries Cereal|21.57
3303|11663|1100|Seaweed, agar, dried|21.4
277|2028|200|Spices, paprika (Capsicum annuum)|21.14
8329|35058|3500|Oopah (tunicate), whole animal (Alaska Native) (Tunicata)|20.7
1800|8045|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS|20.58
1915|8272|800|Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH|20.48
3273|11615|1100|Chives, freeze-dried|20.0
5024|16507|1600|LOMA LINDA Redi-Burger, canned, unprepared|20.0
1779|8011|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES|19.8
270|2021|200|Spices, ginger, ground (Zingiber officinale)|19.8
2002|8550|800|Cereals ready-to-eat, QUAKER, Christmas Crunch|19.78
284|2035|200|Spices, pumpkin pie spice|19.71
2043|8625|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch|19.6
8340|35071|3500|Seal, ringed, meat (Alaska Native) (Pusa hispida)|19.6
1888|8211|800|Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S|19.52
1778|8010|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH|19.42
1985|8506|800|Cereals ready-to-eat, RALSTON Corn Flakes|19.4
2023|8586|800|Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar TRIX|19.29
3697|12169|1200|Seeds, sesame butter, paste|19.2
264|2015|200|Spices, curry powder|19.1
2585|10112|1000|Pork, fresh, variety meats and by-products, lungs, raw|18.9
6523|20060|2000|Rice bran, crude|18.54
267|2018|200|Spices, fennel seed (Foeniculum vulgare)|18.54
2116|8710|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K gluten free, touch of brown sugar|18.39
1780|8012|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH|18.36
1809|8059|800|Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP|18.35
1811|8061|800|Cereals ready-to-eat, POST Raisin Bran Cereal|18.3
7705|25008|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Honey Nut Oat Bar|18.15
1794|8032|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES|18.0
7703|25006|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Double Chocolate Nut Bar|17.95
2584|10111|1000|Pork, fresh, variety meats and by-products, liver, cooked, braised|17.92
1774|8001|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original|17.6
4882|16156|1600|Peanut butter, chunky, vitamin and mineral fortified|17.5
297|2049|200|Thyme, fresh (Thymus vulgaris)|17.45
6111|19078|1900|Baking chocolate, unsweetened, squares|17.4
258|2009|200|Spices, chili powder|17.3
1784|8017|800|Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP|17.3
8612|42261|800|Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal|17.3
8398|35170|3500|Seal, bearded (Oogruk), meat, low quadrant, raw (Alaska Native)|17.0
8392|35164|3500|Seal, bearded (Oogruk), meat, dried, in oil (Alaska Native)|17.0
1822|8078|800|Cereals ready-to-eat, GENERAL MILLS, TRIX|16.89
1911|8267|800|Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS|16.7
2021|8583|800|Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS|16.7
2030|8593|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate|16.7
1899|8239|800|Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berry|16.7
1913|8270|800|Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA|16.7
1914|8271|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS|16.7
2052|8637|800|Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch|16.7
4881|16155|1600|Peanut butter, smooth, vitamin and mineral fortified|16.6
2586|10113|1000|Pork, fresh, variety meats and by-products, lungs, cooked, braised|16.41
8613|42265|800|Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan|16.4
4350|14315|1400|Beverages, OVALTINE, chocolate malt powder|16.36
4346|14309|1400|Beverages, OVALTINE, Classic Malt powder|16.36
4179|14080|1400|Beverages, rich chocolate, powder|16.36
265|2016|200|Spices, dill seed (Anethum graveolens)|16.33
262|2013|200|Spices, coriander seed (Coriandrum sativum)|16.32
7712|25016|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Energy Bar, all flavors|16.31
254|2005|200|Spices, caraway seed (Carum carvi)|16.23
8307|35028|3500|Cockles, raw (Alaska Native) (Clinocardium nuttallii)|16.2
2070|8661|800|Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS|16.1
2069|8660|800|Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows|16.1
1992|8513|800|Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS|16.1
2029|8592|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut|16.1
1776|8003|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS|16.1
8305|35026|3500|Chiton, leathery, gumboots (Alaska Native) (Katharina tunicata)|16.0
1885|8204|800|Cereals ready-to-eat, chocolate-flavored frosted puffed corn|15.87
8302|35023|3500|Caribou, liver, raw (Alaska Native) (Rangifer tarandus)|15.7
4844|16108|1600|Soybeans, mature seeds, raw|15.7
2025|8588|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal|15.69
6195|19166|1900|Cocoa, dry powder, unsweetened, processed with alkali|15.52
1882|8194|800|Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS|15.5
1792|8030|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS|15.5
2064|8655|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches|15.5
1942|8376|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS|15.5
1973|8484|800|Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal|15.25
3698|12170|1200|Seeds, sesame flour, high-fat|15.17
2076|8669|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Chocolate Squares|15.0
1968|8469|800|Cereals ready-to-eat, KELLOGG'S, Reduced Sugar Frosted Flakes Cereal|15.0
2086|8679|800|Cereals ready-to-eat, GENERAL MILLS, FROSTED TOAST CRUNCH|15.0
2068|8659|800|Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES, CHOCO ZUCARITAS|15.0
2003|8553|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberry|15.0
2067|8658|800|Cereals ready-to-eat, KELLOGG'S KRAVE double chocolate cereal|15.0
1884|8202|800|Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Crunchy Almond|15.0
1902|8244|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal|15.0
1910|8263|800|Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS|15.0
2061|8651|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE 80 Calories, Honey Squares|15.0
2051|8635|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS, 25% Reduced Sugar|15.0
1777|8005|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS|15.0
8606|42236|800|Cereals ready-to-eat, frosted oat cereal with marshmallows|15.0
3620|12024|1200|Seeds, sesame seeds, whole, roasted and toasted|14.76
5461|17364|1700|Lamb, New Zealand, imported, kidney, cooked, soaked and fried|14.7
7702|25005|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR|14.67
3619|12023|1200|Seeds, sesame seeds, whole, dried (Sesamum indicum)|14.55
3624|12034|1200|Seeds, sesame meal, partially defatted|14.55
2077|8670|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS, MEDLEY CRUNCH|14.5
