Long_Desc                                                                  CAFFN
Cookies, chocolate sandwich, with creme filling, regular                     5.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES                      5.0
Beverages, tea, green, ready-to-drink, sweetened                             5.0
Beverages, ARIZONA, tea, ready-to-drink, lemon                               5.0
Cookies, marshmallow, chocolate-coated (includes marshmallow pies)           5.0
Beverages, tea, green, ready-to-drink, diet                                  4.0
Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, wit       4.0
Topping, SMUCKER'S MAGIC SHELL                                               4.0
Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES                          4.0
Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS                  4.0
Cookies, chocolate chip sandwich, with creme filling                         4.0
Candies, NESTLE, BABY RUTH Bar                                               4.0
Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight                 4.0
Candies, MARS SNACKFOOD US, MARS Almond Bar                                  4.0
Beverages, tea, green, ready to drink, ginseng and honey, sweetened          4.0
Candies, NESTLE, OH HENRY! Bar                                               4.0
Cookies, chocolate sandwich, with creme filling, regular, chocolate-co       4.0
Snack, BALANCE, original bar                                                 4.0
Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP                            4.0
Cookies, chocolate sandwich, with creme filling, special dietary             4.0
Cereals ready-to-eat, chocolate-flavored frosted puffed corn                 4.0
Beverages, tea, black, ready-to-drink, peach, diet                           4.0
Frozen novelties, No Sugar Added, FUDGSICLE pops                             4.0
Ice creams, chocolate, rich                                                  4.0
Ice cream bar, covered with chocolate and nuts                               4.0
Ice cream sandwich                                                           4.0
Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate s       3.0
Snacks, granola bar, with coconut, chocolate coated                          3.0
Frozen novelties, ice cream type, vanilla ice cream, light, no sugar a       3.0
Ice creams, regular, low carbohydrate, chocolate                             3.0
Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS                           3.0
Ice cream, bar or stick, chocolate covered                                   3.0
Ice creams, chocolate                                                        3.0
Cereals, MALT-O-MEAL, chocolate, dry                                         3.0
Beverages, Malted drink mix, chocolate, powder, prepared with whole mi       3.0
Granola bar, soft, milk chocolate coated, peanut butter                      3.0
Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors                      3.0
Beverages, tea, instant, lemon, sweetened, prepared with water               3.0
