row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
5800   18303      1800  Pie, banana cream, prepared from mix, no-bake ...  0.000
8094   28292      1800                               Crackers, multigrain  0.000
5709   18201      1800   Cookies, peanut butter sandwich, special dietary  0.000
5805   18309      1800                  Pie, cherry, prepared from recipe  0.000
5807   18312      1800  Pie, chocolate mousse, prepared from mix, no-b...  0.000
5685   18173      1800  Cookies, graham crackers, plain or honey (incl...  0.000
5684   18172      1800                               Cookies, gingersnaps  0.000
5704   18193      1800  Cookies, shortbread, commercially prepared, pecan  0.000
5705   18196      1800             Cookies, brownies, dry mix, sugar free  0.000
5706   18198      1800  Cookies, chocolate chip, commercially prepared...  0.000
5682   18170      1800                                  Cookies, fig bars  0.000
5812   18319      1800                             Pie, fried pies, fruit  0.000
5810   18316      1800        Pie, coconut custard, commercially prepared  0.000
5809   18314      1800  Pie, coconut cream, prepared from mix, no-bake...  0.000
5681   18168      1800  Cookies, chocolate sandwich, with extra creme ...  0.000
5707   18199      1800  Cookies, chocolate sandwich, with creme fillin...  0.000
5808   18313      1800          Pie, coconut creme, commercially prepared  0.000
8129   28327      1800                           Crackers, water biscuits  0.000
8198   28397      1800          Bread, multi-grain (includes whole-grain)  0.000
8199   28399      1800  Cookies, animal crackers (includes arrowroot, ...  0.000
5644   18112      1800      Cake, pudding-type, german chocolate, dry mix  0.000
5736   18230      1800  Crackers, standard snack-type, sandwich, with ...  0.000
5735   18229      1800             Crackers, standard snack-type, regular  0.000
8145   28343      1800  Rolls, gluten-free, whole grain, made with tap...  0.000
5588   18033      1800                                     Bread, italian  0.000
8136   28334      1800                  Cookies, gluten-free, lemon wafer  0.000
5589   18036      1800  Bread, multi-grain, toasted (includes whole-gr...  0.000
5641   18107      1800   Coffeecake, cinnamon with crumb topping, dry mix  0.000
5720   18214      1800                          Crackers, cheese, regular  0.000
5734   18228      1800   Crackers, saltines (includes oyster, soda, soup)  0.000
5721   18215      1800  Crackers, cheese, sandwich-type with peanut bu...  0.000
5733   18227      1800                    Crackers, rye, wafers, seasoned  0.000
5590   18037      1800                                    Bread, oat bran  0.000
5732   18226      1800                       Crackers, rye, wafers, plain  0.000
5591   18038      1800                           Bread, oat bran, toasted  0.000
8137   28335      1800  Cookies, gluten-free, vanilla sandwich, with c...  0.000
8138   28336      1800  Bread, gluten-free, white, made with potato ex...  0.000
5592   18039      1800                                     Bread, oatmeal  0.000
5593   18040      1800                            Bread, oatmeal, toasted  0.000
5594   18041      1800                       Bread, pita, white, enriched  0.000
5737   18231      1800  Crackers, standard snack-type, sandwich, with ...  0.000
5738   18232      1800                           Crackers, wheat, regular  0.000
8095   28293      1800  Cookie, butter or sugar, with chocolate icing ...  0.000
5586   18030      1800  Bread, french or vienna, toasted (includes sou...  0.000
5741   18235      1800                              Crackers, whole-wheat  0.000
5572   18013      1800  Biscuits, plain or buttermilk, refrigerated do...  0.000
5740   18234      1800  Crackers, wheat, sandwich, with peanut butter ...  0.000
5573   18014      1800  Biscuits, plain or buttermilk, refrigerated do...  0.000
5739   18233      1800     Crackers, wheat, sandwich, with cheese filling  0.000
5574   18015      1800  Biscuits, plain or buttermilk, refrigerated do...  0.000
5575   18016      1800  Biscuits, plain or buttermilk, prepared from r...  0.000
5576   18017      1800          Biscuits, mixed grain, refrigerated dough  0.000
8151   28349      1800                      Cookies, oatmeal, reduced fat  0.000
5578   18021      1800                        Bread, boston brown, canned  0.000
5579   18022      1800  Bread, cornbread, dry mix, enriched (includes ...  0.000
8149   28347      1800       Pancakes, gluten-free, frozen, ready-to-heat  0.000
